model,fpr,tpr
spline_logistic__basic,0.0,0.0
spline_logistic__basic,0.0,0.0008665337994663213
spline_logistic__basic,0.0,0.0010863301094407392
spline_logistic__basic,0.0,0.0011210337246467385
spline_logistic__basic,0.0003964249272987178,0.0011210337246467385
spline_logistic__basic,0.001231103562947279,0.0011210337246467385
spline_logistic__basic,0.001231103562947279,0.0014383987917308341
spline_logistic__basic,0.001231103562947279,0.0017391177175661576
spline_logistic__basic,0.002119312683914021,0.0017391177175661576
spline_logistic__basic,0.0029724495372715543,0.0017391177175661576
spline_logistic__basic,0.0029724495372715543,0.00272482423200763
spline_logistic__basic,0.0029880974102063215,0.00272482423200763
spline_logistic__basic,0.0030834585197292144,0.00272482423200763
spline_logistic__basic,0.003264210428623158,0.00272482423200763
spline_logistic__basic,0.003264210428623158,0.0027891371930630652
spline_logistic__basic,0.003264210428623158,0.0032110076920961856
spline_logistic__basic,0.003264210428623158,0.003288549079744893
spline_logistic__basic,0.003264210428623158,0.003656152072741207
spline_logistic__basic,0.003264210428623158,0.003734631736422621
spline_logistic__basic,0.003264210428623158,0.003916122762195133
spline_logistic__basic,0.003955560526296999,0.003916122762195133
spline_logistic__basic,0.003955560526296999,0.004026174206393712
spline_logistic__basic,0.003955560526296999,0.004892269569406533
spline_logistic__basic,0.003955560526296999,0.005311904845690053
spline_logistic__basic,0.003955560526296999,0.005568663295069937
spline_logistic__basic,0.004382678076214694,0.005568663295069937
spline_logistic__basic,0.004676084390513059,0.005568663295069937
spline_logistic__basic,0.004676084390513059,0.005627663189555052
spline_logistic__basic,0.004676084390513059,0.005874597057857615
spline_logistic__basic,0.005709234428509566,0.005874597057857615
spline_logistic__basic,0.006487690053270307,0.005874597057857615
spline_logistic__basic,0.006487690053270307,0.0070169158068350305
spline_logistic__basic,0.006487690053270307,0.007277213194274906
spline_logistic__basic,0.006487690053270307,0.0075938954430560335
spline_logistic__basic,0.006487690053270307,0.007874912256256477
spline_logistic__basic,0.008051189065283107,0.007874912256256477
spline_logistic__basic,0.008432633503374679,0.007874912256256477
spline_logistic__basic,0.008432633503374679,0.007884142659470655
spline_logistic__basic,0.008432633503374679,0.008106181802814158
spline_logistic__basic,0.008432633503374679,0.008198430583072952
spline_logistic__basic,0.008432633503374679,0.00825586333765669
spline_logistic__basic,0.008432633503374679,0.00860614883560891
spline_logistic__basic,0.008432633503374679,0.00866077074552515
spline_logistic__basic,0.008564141478056342,0.00866077074552515
spline_logistic__basic,0.008564141478056342,0.009852757757450013
spline_logistic__basic,0.008564141478056342,0.010339912765742306
spline_logistic__basic,0.008564141478056342,0.010571237415411562
spline_logistic__basic,0.008564141478056342,0.010782814142993766
spline_logistic__basic,0.008564141478056342,0.011061794645890863
spline_logistic__basic,0.008564141478056342,0.011237015508969932
spline_logistic__basic,0.008564141478056342,0.011295246989972096
spline_logistic__basic,0.008782747802253266,0.011295246989972096
spline_logistic__basic,0.008782747802253266,0.011961364420002603
spline_logistic__basic,0.008782747802253266,0.012631052882237391
spline_logistic__basic,0.008782747802253266,0.012854875533774915
spline_logistic__basic,0.008782747802253266,0.01299881728513799
spline_logistic__basic,0.008782747802253266,0.013053670699573605
spline_logistic__basic,0.008782747802253266,0.013261295685856453
spline_logistic__basic,0.008782747802253266,0.013349301205704043
spline_logistic__basic,0.008782747802253266,0.013499629546045857
spline_logistic__basic,0.008782747802253266,0.01369936719395898
spline_logistic__basic,0.008782747802253266,0.01409865054024616
spline_logistic__basic,0.008782747802253266,0.014304012937934879
spline_logistic__basic,0.008782747802253266,0.014701395378174295
spline_logistic__basic,0.008782747802253266,0.01660319008720781
spline_logistic__basic,0.008782747802253266,0.016995923183811733
