model,fold,family,feature_set,n_features,auc,brier,log_loss,n_train,n_test,test_weight_sum,selected_params,weighted_training,converged,elapsed_seconds,beverage_training_caps
hist_gradient_boosting__context_diet,2,hist_gradient_boosting,context_diet,32,0.6303209265564056,0.23613745683730342,0.664318342642366,4029,1007,2574325.41285038,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.655747958000575,{}
hist_gradient_boosting__context_diet,3,hist_gradient_boosting,context_diet,32,0.6515649282670429,0.23351298088207006,0.6596353798985222,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.074343624997709,{}
hist_gradient_boosting__context_diet,4,hist_gradient_boosting,context_diet,32,0.6208024058310084,0.23643941793540899,0.6647392244163876,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,5.984627416997682,{}
hist_gradient_boosting__context_diet,5,hist_gradient_boosting,context_diet,32,0.5950035246280495,0.2404654423507356,0.6727184375479943,4031,1005,2807410.1710247993,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.037232374997984,{}
hist_gradient_boosting__context_diet_labels,1,hist_gradient_boosting,context_diet_labels,38,0.6009706203899314,0.24489696710282094,0.6829862534365798,4030,1006,2861322.5562906265,"{""l2_regularization"": 1.0, ""max_leaf_nodes"": 3}",True,True,6.8915136250070645,{}
hist_gradient_boosting__context_diet_labels,2,hist_gradient_boosting,context_diet_labels,38,0.6261289060869045,0.23704907083917912,0.6661549930484405,4029,1007,2574325.41285038,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.469263332997798,{}
hist_gradient_boosting__context_diet_labels,3,hist_gradient_boosting,context_diet_labels,38,0.6508072459502902,0.23377045588067372,0.6602610280284561,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.921696166005859,{}
hist_gradient_boosting__context_diet_labels,4,hist_gradient_boosting,context_diet_labels,38,0.617496896040156,0.23656019083524235,0.6649650726078693,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.560255541000515,{}
hist_gradient_boosting__context_diet_labels,5,hist_gradient_boosting,context_diet_labels,38,0.5856607290207333,0.24275055633330053,0.6774323599728672,4031,1005,2807410.1710247993,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,6.80814591699891,{}
hist_gradient_boosting__symptoms,1,hist_gradient_boosting,symptoms,23,0.636810414031334,0.23817164508976138,0.6682064501347518,4030,1006,2861322.5562906265,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",True,True,5.136620208002569,{}
hist_gradient_boosting__symptoms,2,hist_gradient_boosting,symptoms,23,0.6563906103456345,0.2314203451810406,0.6552434183598937,4029,1007,2574325.41285038,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,5.204105207994871,{}
hist_gradient_boosting__symptoms,3,hist_gradient_boosting,symptoms,23,0.655472662209671,0.23134885199490163,0.6546892977622266,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,5.006973042000027,{}
hist_gradient_boosting__symptoms,4,hist_gradient_boosting,symptoms,23,0.6739938970525456,0.2260625616366171,0.6430038838993813,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,5.08268762499938,{}
hist_gradient_boosting__symptoms,5,hist_gradient_boosting,symptoms,23,0.6421835604301891,0.23120485861636939,0.6532519312107956,4031,1005,2807410.1710247993,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",True,True,4.822195459004433,{}
hist_gradient_boosting__symptoms_diet,1,hist_gradient_boosting,symptoms_diet,38,0.646986209351454,0.23584558617573753,0.6642640907312812,4030,1006,2861322.5562906265,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.3119665419944795,{}
