bin,n,predicted,observed,model
"(0.456, 0.494]",503,0.4766092303150665,0.45577092306416356,spline_logistic__symptoms_diet_labels
"(0.494, 0.525]",504,0.5092260124245243,0.4691695271999907,spline_logistic__symptoms_diet_labels
"(0.525, 0.553]",503,0.5401321421600846,0.5476881530867792,spline_logistic__symptoms_diet_labels
"(0.553, 0.582]",504,0.5687230924190029,0.543201991498534,spline_logistic__symptoms_diet_labels
"(0.582, 0.611]",503,0.5963863778131151,0.6061857285042284,spline_logistic__symptoms_diet_labels
"(0.611, 0.643]",504,0.626419425178036,0.6064986777612048,spline_logistic__symptoms_diet_labels
"(0.643, 0.692]",503,0.6643901302034948,0.6950999101422055,spline_logistic__symptoms_diet_labels
"(0.692, 0.937]",504,0.7524751636523496,0.7567495763672037,spline_logistic__symptoms_diet_labels
"(0.26, 0.427]",504,0.39341005941180396,0.4370736792780907,random_forest__basic
"(0.427, 0.467]",504,0.44611270257826985,0.4539870885655976,random_forest__basic
"(0.467, 0.495]",504,0.48145680199106866,0.5044136949489731,random_forest__basic
"(0.495, 0.523]",503,0.5087069273461565,0.46077293304105055,random_forest__basic
"(0.523, 0.549]",503,0.536056196825017,0.5175230011075077,random_forest__basic
"(0.549, 0.575]",504,0.5624164312211999,0.563486009024979,random_forest__basic
"(0.575, 0.603]",503,0.5885571967475672,0.5703347090190898,random_forest__basic
"(0.603, 0.639]",504,0.6179207840499291,0.6348413656601251,random_forest__basic
"(0.639, 0.696]",503,0.6639940079727993,0.6621067147389277,random_forest__basic
"(0.696, 0.916]",504,0.7413234507133246,0.7247818166450669,random_forest__basic
"(0.187, 0.417]",504,0.3722332337293356,0.4188140594103749,random_forest__context
"(0.417, 0.462]",504,0.4411105129383938,0.3997600890658628,random_forest__context
"(0.462, 0.492]",503,0.4782922585038842,0.4697337736205622,random_forest__context
"(0.492, 0.52]",504,0.5062583858250018,0.4484063363240188,random_forest__context
"(0.52, 0.547]",503,0.53362147056018,0.6001473068328959,random_forest__context
"(0.547, 0.575]",504,0.561476600117569,0.4902563347840685,random_forest__context
"(0.575, 0.605]",503,0.5892041902122945,0.5755435480672915,random_forest__context
"(0.605, 0.644]",504,0.6235289340357085,0.6268540356063662,random_forest__context
"(0.644, 0.699]",503,0.6691980127128295,0.7097107949848714,random_forest__context
"(0.699, 0.888]",504,0.7517021547603919,0.7966159211738557,random_forest__context
"(0.134, 0.415]",504,0.3626426347467547,0.3823471081959837,random_forest__context_diet
"(0.415, 0.462]",504,0.4374048434219994,0.5093669838665222,random_forest__context_diet
"(0.462, 0.497]",503,0.4807112307419188,0.4249142007973882,random_forest__context_diet
"(0.497, 0.525]",504,0.5119623738558307,0.5097513070453646,random_forest__context_diet
"(0.525, 0.552]",503,0.5389151579340169,0.5137491477514675,random_forest__context_diet
"(0.552, 0.578]",504,0.5641480182940988,0.5509919077249005,random_forest__context_diet
"(0.578, 0.606]",503,0.5920508584472682,0.5674056509825848,random_forest__context_diet
"(0.606, 0.641]",504,0.6223343438288121,0.6111624450712587,random_forest__context_diet
"(0.641, 0.689]",503,0.6644177976208805,0.7145275018574039,random_forest__context_diet
"(0.689, 0.936]",504,0.7476490683876159,0.7551694763531371,random_forest__context_diet
"(0.264, 0.429]",504,0.39907031769934803,0.41418413738140686,random_forest__context_diet_labels
"(0.429, 0.472]",504,0.4525841682301697,0.45442214062433356,random_forest__context_diet_labels
"(0.472, 0.502]",503,0.48715716708487145,0.45704629962077176,random_forest__context_diet_labels
"(0.502, 0.528]",504,0.5150415848865703,0.5326298505576269,random_forest__context_diet_labels
"(0.528, 0.551]",503,0.5387427567240837,0.5245563533378083,random_forest__context_diet_labels
"(0.551, 0.573]",504,0.5619866111221028,0.6011711897435131,random_forest__context_diet_labels
"(0.573, 0.599]",503,0.5848229784631306,0.4930446665977913,random_forest__context_diet_labels
"(0.599, 0.627]",504,0.6122647923089163,0.5826970496609901,random_forest__context_diet_labels
"(0.627, 0.671]",503,0.648013603985421,0.7128394400486371,random_forest__context_diet_labels
"(0.671, 0.833]",504,0.7210886723192086,0.7635545523606128,random_forest__context_diet_labels
"(0.237, 0.414]",504,0.3690798850340177,0.4098273791319822,random_forest__symptoms
"(0.414, 0.457]",504,0.4363785441418051,0.3601851219506586,random_forest__symptoms
"(0.457, 0.49]",503,0.4752074259135999,0.4013956030885668,random_forest__symptoms
"(0.49, 0.521]",504,0.5065454444061276,0.5310503649854695,random_forest__symptoms
"(0.521, 0.55]",503,0.5342235233207246,0.4668667442335045,random_forest__symptoms
"(0.55, 0.581]",504,0.5650529453399734,0.6032198718826101,random_forest__symptoms
"(0.581, 0.611]",503,0.5965240962596938,0.5911876168516781,random_forest__symptoms
"(0.611, 0.645]",504,0.6280548549329745,0.6815538421819496,random_forest__symptoms
"(0.645, 0.689]",503,0.6654653331001663,0.6834142210895054,random_forest__symptoms
"(0.689, 0.894]",504,0.7361361080601114,0.7881613578997909,random_forest__symptoms
"(0.264, 0.425]",504,0.3875431901420728,0.3648700198440905,random_forest__symptoms_diet
"(0.425, 0.467]",504,0.44625923299098147,0.359851733255183,random_forest__symptoms_diet
"(0.467, 0.498]",503,0.48212391620780076,0.5304085890015982,random_forest__symptoms_diet
"(0.498, 0.526]",504,0.5110463714625029,0.4514426696358043,random_forest__symptoms_diet
"(0.526, 0.552]",503,0.5394506764360644,0.5349139097836887,random_forest__symptoms_diet
"(0.552, 0.579]",504,0.5661729698534439,0.5539303544512394,random_forest__symptoms_diet
"(0.579, 0.605]",503,0.5916002160924198,0.6569346915698911,random_forest__symptoms_diet
"(0.605, 0.633]",504,0.6191894301336275,0.5989363090883366,random_forest__symptoms_diet
"(0.633, 0.673]",503,0.652484486693496,0.7312204808538134,random_forest__symptoms_diet
"(0.673, 0.843]",504,0.7126420230566939,0.766556800524431,random_forest__symptoms_diet
"(0.241, 0.427]",504,0.383411598738851,0.3865210476455152,random_forest__symptoms_diet_labels
"(0.427, 0.468]",504,0.45064766553399477,0.4236196977797483,random_forest__symptoms_diet_labels
"(0.468, 0.498]",503,0.4827566936884941,0.4850285932203733,random_forest__symptoms_diet_labels
"(0.498, 0.526]",504,0.5111219902887307,0.4757289335122054,random_forest__symptoms_diet_labels
"(0.526, 0.551]",503,0.5385847065587553,0.49278839994173324,random_forest__symptoms_diet_labels
"(0.551, 0.577]",504,0.5625296103517924,0.5831462402214902,random_forest__symptoms_diet_labels
"(0.577, 0.602]",503,0.589645840333682,0.6186308157102165,random_forest__symptoms_diet_labels
"(0.602, 0.632]",504,0.6165058145009128,0.6147846964317297,random_forest__symptoms_diet_labels
"(0.632, 0.674]",503,0.6523227028297346,0.6775779970657392,random_forest__symptoms_diet_labels
"(0.674, 0.879]",504,0.7204947436699004,0.7735505990345408,random_forest__symptoms_diet_labels
"(0.247, 0.411]",504,0.3691962952613223,0.41193551560436303,hist_gradient_boosting__basic
"(0.411, 0.456]",504,0.4352310861849891,0.44850757585103,hist_gradient_boosting__basic
"(0.456, 0.49]",503,0.4722564204006884,0.5097923418868856,hist_gradient_boosting__basic
"(0.49, 0.517]",504,0.504184986500316,0.49136626943267236,hist_gradient_boosting__basic
"(0.517, 0.547]",503,0.5312902914241485,0.44786235789885076,hist_gradient_boosting__basic
"(0.547, 0.581]",508,0.5636218388883607,0.5371732769916137,hist_gradient_boosting__basic
"(0.581, 0.614]",499,0.5949362677732909,0.6590847578201472,hist_gradient_boosting__basic
"(0.614, 0.658]",505,0.6328129269655043,0.6219883565705433,hist_gradient_boosting__basic
"(0.658, 0.71]",503,0.6840715977146796,0.6670408300852373,hist_gradient_boosting__basic
"(0.71, 0.895]",503,0.7581739153390223,0.7529810073627276,hist_gradient_boosting__basic
"(0.222, 0.398]",504,0.35586571109777937,0.41844859640947846,hist_gradient_boosting__context
"(0.398, 0.443]",504,0.4214081326076258,0.4382680596442626,hist_gradient_boosting__context
"(0.443, 0.481]",503,0.4606418004714981,0.4662597744900526,hist_gradient_boosting__context
"(0.481, 0.515]",504,0.4979353763117671,0.43030054649731486,hist_gradient_boosting__context
"(0.515, 0.55]",503,0.5337471961268245,0.5446081578842297,hist_gradient_boosting__context
