comparison,model,reference,metric,difference,ci_low,ci_high,contrast_id,family,unoriented_difference,direction,role,relative_loss_reduction_percent
Diet beyond context and symptoms,random_forest__symptoms_diet,random_forest__symptoms,brier,-0.0005023471972808169,-0.0026371359429087702,0.0014743041289816828,diet_symptoms,random_forest,0.0005023471972808169,Positive favours added variables or sensitivity,secondary_exploratory,-0.2174895704019873
Diet beyond context and symptoms,random_forest__symptoms_diet,random_forest__symptoms,log_loss,-0.0010912183291968969,-0.005591367799613425,0.003087023630974525,diet_symptoms,random_forest,0.0010912183291968969,Positive favours added variables or sensitivity,secondary_exploratory,-0.1669098186383213
Label behaviours beyond context and diet,random_forest__context_diet_labels,random_forest__context_diet,auc,-0.010836676746350693,-0.024230206535640512,0.0020615020729499,labels_context,random_forest,-0.010836676746350693,Positive favours added variables or sensitivity,secondary_exploratory,
Label behaviours beyond context and diet,random_forest__context_diet_labels,random_forest__context_diet,brier,-0.0014184521646024018,-0.003897925453853331,0.0008718601693536221,labels_context,random_forest,0.0014184521646024018,Positive favours added variables or sensitivity,secondary_exploratory,-0.6008184781068797
Label behaviours beyond context and diet,random_forest__context_diet_labels,random_forest__context_diet,log_loss,-0.002740151439476368,-0.008120672946755855,0.0020363240092660384,labels_context,random_forest,0.002740151439476368,Positive favours added variables or sensitivity,secondary_exploratory,-0.4124124344610013
Label behaviours beyond symptoms and diet,random_forest__symptoms_diet_labels,random_forest__symptoms_diet,auc,-0.016097803852040626,-0.028016157112628916,-0.004754267998822013,labels_symptoms,random_forest,-0.016097803852040626,Positive favours added variables or sensitivity,secondary_exploratory,
Label behaviours beyond symptoms and diet,random_forest__symptoms_diet_labels,random_forest__symptoms_diet,brier,-0.002584377426644968,-0.004640408623191493,-0.0006487703507793201,labels_symptoms,random_forest,0.002584377426644968,Positive favours added variables or sensitivity,secondary_exploratory,-1.1164695203956256
Label behaviours beyond symptoms and diet,random_forest__symptoms_diet_labels,random_forest__symptoms_diet,log_loss,-0.005317327813415651,-0.009675320320534683,-0.0011974996127183362,labels_symptoms,random_forest,0.005317327813415651,Positive favours added variables or sensitivity,secondary_exploratory,-0.811968895032283
Expanded context beyond basic,random_forest__context,random_forest__basic,auc,0.039148268315106316,0.016992478038465587,0.06251107807447549,context_basic,random_forest,0.039148268315106316,Positive favours added variables or sensitivity,secondary_exploratory,
Expanded context beyond basic,random_forest__context,random_forest__basic,brier,0.008248457444553742,0.004386069339165286,0.012488792392155314,context_basic,random_forest,-0.008248457444553742,Positive favours added variables or sensitivity,secondary_exploratory,3.426971771186323
Expanded context beyond basic,random_forest__context,random_forest__basic,log_loss,0.018545539805564948,0.010440756510031316,0.027763487924544847,context_basic,random_forest,-0.018545539805564948,Positive favours added variables or sensitivity,secondary_exploratory,2.7488584927399677
Symptoms beyond context,random_forest__symptoms,random_forest__context,auc,0.014422367826071869,-0.0037030853083808656,0.03166514649825883,symptoms_context,random_forest,0.014422367826071869,Positive favours added variables or sensitivity,secondary_exploratory,
Symptoms beyond context,random_forest__symptoms,random_forest__context,brier,0.0014685459766677067,-0.001745550280262409,0.004493173068750444,symptoms_context,random_forest,-0.0014685459766677067,Positive favours added variables or sensitivity,secondary_exploratory,0.6317852566410673
Symptoms beyond context,random_forest__symptoms,random_forest__context,log_loss,0.002340580005487869,-0.004276474888229891,0.008505263808537441,symptoms_context,random_forest,-0.002340580005487869,Positive favours added variables or sensitivity,secondary_exploratory,0.35673168711152625
"Symptoms beyond context, diet and labels",random_forest__symptoms_diet_labels,random_forest__context_diet_labels,auc,0.022164264430301395,0.004029551384948491,0.03931769889342049,symptoms_full,random_forest,0.022164264430301395,Positive favours added variables or sensitivity,secondary_exploratory,
"Symptoms beyond context, diet and labels",random_forest__symptoms_diet_labels,random_forest__context_diet_labels,brier,0.0034430643261547655,0.0006736499097153924,0.006217228375123161,symptoms_full,random_forest,-0.0034430643261547655,Positive favours added variables or sensitivity,secondary_exploratory,1.4496802058202158
"Symptoms beyond context, diet and labels",random_forest__symptoms_diet_labels,random_forest__context_diet_labels,log_loss,0.0069745910829193125,0.0013610177728118015,0.012727776913162594,symptoms_full,random_forest,-0.0069745910829193125,Positive favours added variables or sensitivity,secondary_exploratory,1.0454145359103166
