model,fold,family,feature_set,n_features,auc,brier,log_loss,n_train,n_test,test_weight_sum,selected_params,weighted_training,converged,elapsed_seconds,beverage_training_caps,optimizer_status,epochs_completed
hist_gradient_boosting__symptoms_diet_labels,2,hist_gradient_boosting,symptoms_diet_labels,44,0.635628008640327,0.23786221855312278,0.6703233643815936,4029,1007,2574325.41285038,"{""l2_regularization"": 10.0, ""max_leaf_nodes"": 3}",True,True,7.1239662090010825,{},,
hist_gradient_boosting__symptoms_diet_labels,3,hist_gradient_boosting,symptoms_diet_labels,44,0.6517890209253319,0.23231361705022038,0.6565117695331297,4025,1011,2776332.157348156,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.2173024590010755,{},,
hist_gradient_boosting__symptoms_diet_labels,4,hist_gradient_boosting,symptoms_diet_labels,44,0.6530424028212968,0.23088296965735192,0.6532789582120421,4029,1007,2777806.4952178,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.71835487500357,{},,
hist_gradient_boosting__symptoms_diet_labels,5,hist_gradient_boosting,symptoms_diet_labels,44,0.6244633616252628,0.23481088934809888,0.6610014550661601,4031,1005,2807410.1710247993,"{""l2_regularization"": 100.0, ""max_leaf_nodes"": 3}",True,True,7.726863083000353,{},,
mlp__context_diet_labels,1,mlp,context_diet_labels,38,0.5556098425916682,0.2507665204598286,0.6946959742359162,4030,1006,2861322.5562906265,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [64, 32]}",True,,12.104456707995269,{},fixed_epoch_budget_completed,100.0
mlp__context_diet_labels,2,mlp,context_diet_labels,38,0.575797376900324,0.24835314070107395,0.6898504520425282,4029,1007,2574325.41285038,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [32, 16]}",True,,11.939282333994925,{},fixed_epoch_budget_completed,100.0
mlp__context_diet_labels,3,mlp,context_diet_labels,38,0.6041776944953143,0.24921847013754303,0.6915873743563017,4025,1011,2776332.157348156,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [32, 16]}",True,,11.987101332997554,{},fixed_epoch_budget_completed,100.0
mlp__context_diet_labels,4,mlp,context_diet_labels,38,0.5068700095364603,0.24592396494377208,0.6849833204349103,4029,1007,2777806.4952178,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [64, 32]}",True,,12.365964042000996,{},fixed_epoch_budget_completed,100.0
mlp__context_diet_labels,5,mlp,context_diet_labels,38,0.5473146288272281,0.24648678621829306,0.6861094828438228,4031,1005,2807410.1710247993,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [64, 32]}",True,,12.27132200000051,{},fixed_epoch_budget_completed,100.0
mlp__symptoms_diet_labels,1,mlp,symptoms_diet_labels,44,0.6067272006955041,0.25077889843087126,0.6947210056619747,4030,1006,2861322.5562906265,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [32, 16]}",True,,12.724175832998299,{},fixed_epoch_budget_completed,100.0
mlp__symptoms_diet_labels,2,mlp,symptoms_diet_labels,44,0.574903704675062,0.24833663837875905,0.6898171458784966,4029,1007,2574325.41285038,"{""alpha"": 10.0, ""epochs"": 250, ""hidden_layer_sizes"": [64, 32]}",True,,13.636003457999323,{},fixed_epoch_budget_completed,250.0
mlp__symptoms_diet_labels,3,mlp,symptoms_diet_labels,44,0.39138103103949584,0.2491481191741094,0.6914452997270372,4025,1011,2776332.157348156,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [64, 32]}",True,,12.97183125000447,{},fixed_epoch_budget_completed,100.0
mlp__symptoms_diet_labels,4,mlp,symptoms_diet_labels,44,0.5764070803746271,0.24561213129605397,0.684356044496537,4029,1007,2777806.4952178,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [32, 16]}",True,,13.346850125002675,{},fixed_epoch_budget_completed,100.0
mlp__symptoms_diet_labels,5,mlp,symptoms_diet_labels,44,0.6005839100194487,0.24649929399388187,0.6861346518357645,4031,1005,2807410.1710247993,"{""alpha"": 10.0, ""epochs"": 100, ""hidden_layer_sizes"": [64, 32]}",True,,12.773223625001265,{},fixed_epoch_budget_completed,100.0
