bin,n,predicted,observed,model
"(0.54819801390081, 0.54819801390083]",507,0.5481980139008222,0.49965213464403413,mlp__context_diet_labels
"(0.54819801390083, 0.55020248493612]",500,0.5482486367559497,0.5649487350897356,mlp__context_diet_labels
"(0.55020248493612, 0.55020248493702]",503,0.550202484936746,0.462376639389199,mlp__context_diet_labels
"(0.55020248493702, 0.55020248493845]",504,0.5502024849372653,0.6392140178061501,mlp__context_diet_labels
"(0.55020248493845, 0.55236137790095]",503,0.5523593667660451,0.4981446757774977,mlp__context_diet_labels
"(0.55236137790095, 0.55236137790151]",504,0.5523613779010665,0.5376162052987046,mlp__context_diet_labels
"(0.538916785952, 0.538916788342]",504,0.5389167875555327,0.4831184044026165,mlp__symptoms_diet_labels
"(0.538916788342, 0.540059673166]",504,0.5389186064199967,0.6475671045938262,mlp__symptoms_diet_labels
"(0.540059673166, 0.540059673167]",503,0.5400596731665234,0.5409692710911067,mlp__symptoms_diet_labels
"(0.540059673167, 0.546902028318]",504,0.540076083638747,0.6168024181053432,mlp__symptoms_diet_labels
"(0.546902028318, 0.54690202832]",504,0.5469020283197445,0.48406180236217444,mlp__symptoms_diet_labels
"(0.54690202832, 0.548035713237]",503,0.5469052007700129,0.5989120091073962,mlp__symptoms_diet_labels
"(0.548035713237, 0.54803571483]",503,0.5480357144666296,0.5866378459646835,mlp__symptoms_diet_labels
"(0.54803571483, 0.548035715743]",504,0.5480357151229855,0.4850750748221289,mlp__symptoms_diet_labels
"(0.548035715743, 0.55254561596]",503,0.5525448069240387,0.4558595830753566,mlp__symptoms_diet_labels
"(0.55254561596, 0.552545615962]",504,0.5525456159600437,0.5924730616725581,mlp__symptoms_diet_labels
