domain,variable,description,kind,domain_n,observed_n,missing_n,df,units,row_type,level,n,estimate,weighted_sd,ci_low,ci_high,se
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Armed forces or police,37,0.9865242681870329,,0.529792492230684,1.8297595121452597,0.31177148016982603
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,None,117,5.481686508845657,,3.946277230691847,7.567424982140883,0.9103079116896801
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Other,1,0.039920098523676714,,0.0054342795966535904,0.29261176202665207,0.04056022818284588
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Private ISAPRE,230,12.84331578494298,,10.302736271577139,15.899335131324898,1.421286901339131
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Public FONASA A,675,19.673924678435103,,17.218666185613742,22.3846154979671,1.316044446468055
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Public FONASA B,701,21.388800816162252,,18.701968589360497,24.34604297342474,1.4382395697088401
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Public FONASA C,268,10.919165555937049,,9.053164514392108,13.11431885041813,1.0317387014222297
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,Public FONASA D,274,11.506439850342549,,9.580041352287436,13.761252647702854,1.0625436750962074
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,category,"Public FONASA, group unknown",359,17.1602224386237,,14.330626698515788,20.415382383342713,1.54875181656914
Caries,health_insurance,"Participant's health insurance system, including public insurance group",categorical,2689,2662,27,1045,percent,missing,Missing,27,,,,,
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Armed forces or police,110,1.6901722970663031,,1.0707164775127045,2.658379848646314,0.39188136129525003
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,None,200,5.200897143574566,,4.017338419801705,6.708775213873356,0.6799698297248524
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Other,4,0.05393534933045746,,0.017380056866817956,0.16724839386912288,0.031120884094456548
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Private ISAPRE,491,13.865231422538915,,11.841115963665395,16.17187778469106,1.101829629984919
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Public FONASA A,1203,19.734176511394676,,17.78756053515726,21.837238763007587,1.0317659297387105
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Public FONASA B,1286,21.275017544395837,,19.27836653126684,23.4184674464645,1.054958901883557
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Public FONASA C,530,11.264282630155611,,9.847320083835536,12.856060920907222,0.7655103009717108
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,Public FONASA D,517,11.077080603459612,,9.61256086068351,12.733294081236423,0.7938478983913948
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,category,"Public FONASA, group unknown",643,15.839206498084021,,13.69862231080947,18.243574371446503,1.1569923595597462
Total,health_insurance,"Participant's health insurance system, including public insurance group",categorical,5036,4984,52,1045,percent,missing,Missing,52,,,,,
No caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2347,2347,0,1045,percent,category,Current daily,467,22.33910225374821,,19.170019013745204,25.864441966945577,1.7062594210919761
No caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2347,2347,0,1045,percent,category,Current occasional,177,9.786892458122624,,7.506701107916583,12.664863028586732,1.3057933886333857
No caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2347,2347,0,1045,percent,category,Former,553,25.200868470822396,,22.293417715481436,28.349167025356163,1.5439472118411703
No caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2347,2347,0,1045,percent,category,Never,1150,42.67313681730677,,39.052564862559755,46.37397117562265,1.8688442803547973
No caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2689,2689,0,1045,percent,category,Current daily,656,27.277115653586257,,24.21724588515836,30.567657069347177,1.6194757905993515
Caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2689,2689,0,1045,percent,category,Current occasional,190,7.726493544116933,,6.008845438661903,9.883507054194334,0.9805200236127872
Caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2689,2689,0,1045,percent,category,Former,631,25.933936150734493,,22.840057360722042,29.28783095039622,1.64414777030173
Caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2689,2689,0,1045,percent,category,Never,1212,39.06245465156232,,35.995842593863195,42.21799458012434,1.5874118224881553
Caries,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,5036,5036,0,1045,percent,category,Current daily,1123,25.037148012502218,,22.842662436276918,27.367677986714124,1.1533782315047476
Total,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,5036,5036,0,1045,percent,category,Current occasional,367,8.661125859057352,,7.250255626818318,10.316009155959623,0.7786510504935775
Total,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,5036,5036,0,1045,percent,category,Former,1184,25.601404067734983,,23.398497911907562,27.936071350455645,1.156616398776612
Total,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,5036,5036,0,1045,percent,category,Never,2362,40.700322060705446,,38.322533480923866,43.1224945993267,1.223988632657231
Total,smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,2347,2330,17,1045,percent,category,No,2021,88.78324406260975,,86.5353518236428,90.696203883323,1.0571681166348048
No caries,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,2347,2330,17,1045,percent,category,Yes,309,11.216755937390237,,9.303796116677004,13.46464817635721,1.0571681166348048
No caries,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,2347,2330,17,1045,percent,missing,Missing,17,,,,,
Caries,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,2689,2663,26,1045,percent,category,No,2302,90.36508518782811,,88.62513597871079,91.8633193943026,0.8228784565865793
Caries,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,2689,2663,26,1045,percent,category,Yes,361,9.634914812171875,,8.136680605697402,11.374864021289193,0.8228784565865794
Caries,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,2689,2663,26,1045,percent,missing,Missing,26,,,,,
Total,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,5036,4993,43,1045,percent,category,No,4323,89.64721702873607,,88.27315154193228,90.8769194066616,0.6625109321906366
Total,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,5036,4993,43,1045,percent,category,Yes,670,10.352782971263926,,9.123080593338411,11.726848458067717,0.6625109321906366
Total,diabetes_reported,Ever told by a health professional that the participant had diabetes,categorical,5036,4993,43,1045,percent,missing,Missing,43,,,,,
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,category,2 to less than 5 years,377,16.16362796512639,,13.744930063141705,18.914611952530517,1.3158172488991542
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,category,6–12 months,399,17.57474216075405,,15.033846502117179,20.44176088642952,1.3769643194577843
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,category,At least 5 years,280,11.39045291835728,,9.284311565574036,13.901157407138351,1.1724411256528329
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,category,Less than 6 months,793,33.442040871692704,,30.122889705255485,36.933613843075236,1.7377274147711579
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,category,More than 1 to less than 2 years,446,19.924473503885253,,17.156337830118783,23.01516062260988,1.492546197903133
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,category,Never,52,1.5046625801843214,,0.8247089940382257,2.7297916142960243,0.4593360958078163
No caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,category,2 to less than 5 years,473,17.883177978083708,,15.371627780192714,20.70469103294576,1.3580484237384238
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,category,6–12 months,409,16.490972101293234,,14.164251391914155,19.114783475253148,1.260284032583524
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,category,At least 5 years,547,19.623362849686465,,17.03097733574868,22.503324403657512,1.3940485788005448
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,category,Less than 6 months,657,25.681486725405822,,22.825591227644416,28.76153809113791,1.5134351875878964
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,category,More than 1 to less than 2 years,494,17.71539240045869,,15.291852760050025,20.430389839831207,1.3085173786078264
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,category,Never,109,2.6056079450720757,,1.930323635068167,3.5086748369416854,0.3968911647125413
Caries,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,category,2 to less than 5 years,850,17.103160575462574,,15.352653305771033,19.008439841632548,0.9311525030655099
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,category,6–12 months,808,16.98258880359857,,15.146504138909961,18.99143163924906,0.9792660137056921
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,category,At least 5 years,827,15.888773583739638,,14.062461722991024,17.902859659247763,0.977913820225123
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,category,Less than 6 months,1450,29.201807299086997,,26.936587488974943,31.575196139986584,1.1825668705200374
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,category,More than 1 to less than 2 years,940,18.717469508707932,,16.942420700722735,20.632292323464757,0.9400214451648401
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,category,Never,161,2.1062002294042914,,1.5879754939269328,2.7887515837001304,0.30230920200975686
Total,dental_visit,"Time since last dental visit; possible reverse causation, extended sensitivity only",categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2347,2265,82,1045,percent,category,Never visited,52,1.550563376102577,,0.8499083449552582,2.81244637248965,0.4732552615124673
No caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2347,2265,82,1045,percent,category,Pain or discomfort,474,22.193461839227478,,19.169425399527064,25.543793403711096,1.624603089691291
No caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2347,2265,82,1045,percent,category,Routine check-up,681,32.634060300706814,,28.97907222721208,36.51303369951527,1.9227466936528441
No caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2347,2265,82,1045,percent,category,Treatment or continuation,1058,43.62191448396313,,39.6021279176591,47.72729875029537,2.074881105106705
No caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2347,2265,82,1045,percent,missing,Missing,82,,,,,
Caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2689,2578,111,1045,percent,category,Never visited,109,2.715499498257099,,2.011461040343994,3.6567648165065565,0.4137523383751814
Caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2689,2578,111,1045,percent,category,Pain or discomfort,840,34.94376025437671,,31.542231077327997,38.505783455848466,1.7769242805332248
Caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2689,2578,111,1045,percent,category,Routine check-up,565,23.59893435072451,,20.61485755155252,26.868767026106173,1.594226846050779
Caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2689,2578,111,1045,percent,category,Treatment or continuation,1064,38.74180589664168,,35.597273660350886,41.98303684862771,1.6292505259493855
Caries,dental_visit_reason,Main reason for the most recent dental visit,categorical,2689,2578,111,1045,percent,missing,Missing,111,,,,,
Total,dental_visit_reason,Main reason for the most recent dental visit,categorical,5036,4843,193,1045,percent,category,Never visited,161,2.1838116704322483,,1.6465426422194154,2.8912387569511946,0.313381616078538
Total,dental_visit_reason,Main reason for the most recent dental visit,categorical,5036,4843,193,1045,percent,category,Pain or discomfort,1314,29.124403862601856,,26.71533161059052,31.65687446397234,1.259879323386492
Total,dental_visit_reason,Main reason for the most recent dental visit,categorical,5036,4843,193,1045,percent,category,Routine check-up,1246,27.722651007038156,,25.36118147675761,30.214992439525513,1.2374185671281197
Total,dental_visit_reason,Main reason for the most recent dental visit,categorical,5036,4843,193,1045,percent,category,Treatment or continuation,2122,40.96913345992774,,38.46118187438527,43.5249561393221,1.2913714989031368
Total,dental_visit_reason,Main reason for the most recent dental visit,categorical,5036,4843,193,1045,percent,missing,Missing,193,,,,,
No caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2347,2280,67,1045,percent,category,"Appointment obtained, unable to attend",84,2.589208040987651,,1.5354892777323075,4.3342042450494365,0.6854304509653933
No caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2347,2280,67,1045,percent,category,Did not need care,902,39.21617185249761,,35.659121323674434,42.891509368618074,1.8459447438958718
No caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2347,2280,67,1045,percent,category,"Needed care, did not request",330,16.459903806345245,,13.8221070410869,19.48726326283341,1.4417842427105123
No caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2347,2280,67,1045,percent,category,Received care,877,38.10197229171922,,34.557527863225026,41.77787655034002,1.8428178954455827
No caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2347,2280,67,1045,percent,category,"Requested care, not provided",87,3.632744008450268,,2.2285068284990546,5.868713105168939,0.8976088877729885
No caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2347,2280,67,1045,percent,missing,Missing,67,,,,,
Caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2689,2560,129,1045,percent,category,"Appointment obtained, unable to attend",92,2.3346450116730724,,1.645857362986411,3.302011233483035,0.41440331633234445
Caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2689,2560,129,1045,percent,category,Did not need care,1097,44.673819443040685,,40.930391696526904,48.47863256149108,1.926999136505234
Caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2689,2560,129,1045,percent,category,"Needed care, did not request",467,18.34064973075777,,15.280808829694944,21.855135136767604,1.673877699402566
Caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2689,2560,129,1045,percent,category,Received care,764,30.115435086958335,,26.940648268833982,33.49283759404988,1.6713489479062136
Caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2689,2560,129,1045,percent,category,"Requested care, not provided",140,4.535450727570136,,3.1155692911108863,6.558620076904603,0.8611593517804315
Caries,dental_access,Dental care received or unmet need during the previous six months,categorical,2689,2560,129,1045,percent,missing,Missing,129,,,,,
Total,dental_access,Dental care received or unmet need during the previous six months,categorical,5036,4840,196,1045,percent,category,"Appointment obtained, unable to attend",176,2.4505084675680915,,1.7715914432317597,3.380648721391251,0.4036645286655299
Total,dental_access,Dental care received or unmet need during the previous six months,categorical,5036,4840,196,1045,percent,category,Did not need care,1999,42.189790585433,,39.382876231924456,45.048087682762024,1.4450663623714037
Total,dental_access,Dental care received or unmet need during the previous six months,categorical,5036,4840,196,1045,percent,category,"Needed care, did not request",797,17.484634923542295,,15.35270813047777,19.843208149268072,1.1436150809750065
Total,dental_access,Dental care received or unmet need during the previous six months,categorical,5036,4840,196,1045,percent,category,Received care,1641,33.75047904314191,,31.324617525451963,36.265000880118095,1.259741344129488
Total,dental_access,Dental care received or unmet need during the previous six months,categorical,5036,4840,196,1045,percent,category,"Requested care, not provided",227,4.124586980314704,,3.0437258808145806,5.567234641532588,0.6350040582246408
Total,dental_access,Dental care received or unmet need during the previous six months,categorical,5036,4840,196,1045,percent,missing,Missing,196,,,,,
No caries,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,2347,2342,5,1045,percent,category,Other,35,2.0462711692985547,,1.1117058077598492,3.7367989708594904,0.6329329016907072
No caries,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,2347,2342,5,1045,percent,category,Public network,2307,97.95372883070145,,96.26320102914052,98.88829419224014,0.6329329016907073
No caries,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,2347,2342,5,1045,percent,missing,Missing,5,,,,,
Caries,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,2689,2688,1,1045,percent,category,Other,98,3.0931565846710503,,1.9644450726485587,4.8383852026584035,0.7111854403607256
Caries,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,2689,2688,1,1045,percent,category,Public network,2590,96.90684341532895,,95.1616147973416,98.03555492735143,0.7111854403607257
Caries,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,2689,2688,1,1045,percent,missing,Missing,1,,,,,
Total,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,5036,5030,6,1045,percent,category,Other,133,2.6183881661638675,,1.7234805349435272,3.959251258232928,0.5553340754508131
Total,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,5036,5030,6,1045,percent,category,Public network,4897,97.38161183383613,,96.04074874176706,98.27651946505647,0.5553340754508131
Total,household_water_source,Household supply: public network vs other; not a measure of fluoride exposure,categorical,5036,5030,6,1045,percent,missing,Missing,6,,,,,
No caries,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,2347,2346,1,1045,percent,category,No,2092,89.783156004809,,87.04838003347778,91.99358777592963,1.253382814283028
No caries,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,2347,2346,1,1045,percent,category,Yes,254,10.216843995190999,,8.00641222407037,12.951619966522236,1.253382814283028
No caries,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,2347,2346,1,1045,percent,missing,Missing,1,,,,,
Caries,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,2689,2689,0,1045,percent,category,No,2300,88.76983779487274,,86.51340541683886,90.68937724836113,1.060998726468847
Caries,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,2689,2689,0,1045,percent,category,Yes,389,11.230162205127264,,9.310622751638878,13.486594583161137,1.060998726468847
Caries,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,5036,5035,1,1045,percent,category,No,4392,89.229406709207,,87.3746206757846,90.84027277513415,0.8810811601905415
Total,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,5036,5035,1,1045,percent,category,Yes,643,10.770593290793009,,9.159727224865842,12.62537932421541,0.8810811601905415
Total,rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",categorical,5036,5035,1,1045,percent,missing,Missing,1,,,,,
No caries,oral_health_selfrating,Overall self-rated oral health,categorical,2347,2347,0,1045,percent,category,Fair,805,33.89818492670279,,30.39923006005486,37.58240726410882,1.8330628909431324
No caries,oral_health_selfrating,Overall self-rated oral health,categorical,2347,2347,0,1045,percent,category,Good,1156,51.92169027005015,,48.10673365678784,55.71437016738782,1.9422586916523727
No caries,oral_health_selfrating,Overall self-rated oral health,categorical,2347,2347,0,1045,percent,category,Poor,247,8.187226637140888,,6.611208819244836,10.098319388203612,0.8842562487253347
No caries,oral_health_selfrating,Overall self-rated oral health,categorical,2347,2347,0,1045,percent,category,Very good,105,4.9572654111996,,3.373577146371602,7.228780195273379,0.9638152559282167
No caries,oral_health_selfrating,Overall self-rated oral health,categorical,2347,2347,0,1045,percent,category,Very poor,34,1.0356327549065825,,0.6295028657094168,1.6993005970724055,0.2621675150503526
No caries,oral_health_selfrating,Overall self-rated oral health,categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,oral_health_selfrating,Overall self-rated oral health,categorical,2689,2689,0,1045,percent,category,Fair,1167,46.40121981307947,,42.71359969627107,50.12861885814065,1.892886408213964
Caries,oral_health_selfrating,Overall self-rated oral health,categorical,2689,2689,0,1045,percent,category,Good,934,34.112187847229144,,30.7009483666853,37.69627778775246,1.785004152151794
Caries,oral_health_selfrating,Overall self-rated oral health,categorical,2689,2689,0,1045,percent,category,Poor,471,14.53684718648455,,12.333061708018514,17.05780316153621,1.202090073594392
Caries,oral_health_selfrating,Overall self-rated oral health,categorical,2689,2689,0,1045,percent,category,Very good,56,2.438588373344185,,1.6489718071691493,3.592504505164561,0.48416715339595534
Caries,oral_health_selfrating,Overall self-rated oral health,categorical,2689,2689,0,1045,percent,category,Very poor,61,2.5111567798626533,,1.666262735763416,3.768045944023299,0.5224841866779589
Caries,oral_health_selfrating,Overall self-rated oral health,categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,oral_health_selfrating,Overall self-rated oral health,categorical,5036,5036,0,1045,percent,category,Fair,1972,40.7296285691701,,38.16425639969332,43.346561824819624,1.3216486648226629
Total,oral_health_selfrating,Overall self-rated oral health,categorical,5036,5036,0,1045,percent,category,Good,2090,42.19088385324548,,39.611475223649194,44.81361268391678,1.3267294562838041
Total,oral_health_selfrating,Overall self-rated oral health,categorical,5036,5036,0,1045,percent,category,Poor,718,11.6565503115999,,10.230134567952827,13.252493638580551,0.7690815866359945
Total,oral_health_selfrating,Overall self-rated oral health,categorical,5036,5036,0,1045,percent,category,Very good,161,3.58110351178479,,2.7048980345601126,4.727350026709811,0.5096898758741789
Total,oral_health_selfrating,Overall self-rated oral health,categorical,5036,5036,0,1045,percent,category,Very poor,95,1.841833754199727,,1.3145698963120547,2.575060764867134,0.3156637228638937
Total,oral_health_selfrating,Overall self-rated oral health,categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2347,2347,0,1045,percent,category,Almost always,55,1.7938042994562788,,1.171092630213293,2.738458968621979,0.3884828588569815
No caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2347,2347,0,1045,percent,category,Almost never,111,4.342060588211889,,2.9885530848471036,6.2689554031886505,0.8204657076562489
No caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2347,2347,0,1045,percent,category,Always,47,1.9841635304312142,,1.3155070866640384,2.982418540510909,0.41406041179322867
No caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2347,2347,0,1045,percent,category,Never,1923,82.52546738295999,,79.8435015992953,84.91798645401494,1.292147366827628
No caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2347,2347,0,1045,percent,category,Sometimes,211,9.354504198940639,,7.600936440070001,11.46244078550551,0.9798449376862457
No caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2347,2347,0,1045,percent,missing,Missing,0,,,,,
Caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2689,2689,0,1045,percent,category,Almost always,94,3.4300289343558568,,2.5225940440405514,4.648322991068699,0.5344974824365202
Caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2689,2689,0,1045,percent,category,Almost never,139,5.739878373152499,,4.385760560476417,7.479379695215337,0.7812407692563652
Caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2689,2689,0,1045,percent,category,Always,65,1.804761067483392,,1.1745277650455375,2.763710531828336,0.3937359785127853
Caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2689,2689,0,1045,percent,category,Never,2049,74.3922002384004,,71.23076281776207,77.3168597375398,1.5517539580355002
Caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2689,2689,0,1045,percent,category,Sometimes,342,14.633131386607841,,12.30051383559143,17.320732584298163,1.277077757207984
Caries,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,2689,2689,0,1045,percent,missing,Missing,0,,,,,
Total,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,5036,5036,0,1045,percent,category,Almost always,149,2.687809353534184,,2.0840654264928675,3.4602741548097122,0.34735514995235167
Total,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,5036,5036,0,1045,percent,category,Almost never,250,5.10580423181837,,4.057854034747035,6.406318917751583,0.5943472876340259
Total,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,5036,5036,0,1045,percent,category,Always,112,1.8861411041894645,,1.3974244715190025,2.541369787689956,0.2875206738341568
Total,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,5036,5036,0,1045,percent,category,Never,3972,78.08158982586141,,75.88119139715191,80.13379892767199,1.0836884882949485
Total,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,5036,5036,0,1045,percent,category,Sometimes,553,12.238655484596567,,10.72872316201477,13.927937255328022,0.8141313070606785
Total,oral_pain,Frequency of suffering or pain attributed to teeth or dentures,categorical,5036,5036,0,1045,percent,missing,Missing,0,,,,,
No caries,oral_speech,Frequency of discomfort from teeth or dentures when speaking,categorical,2347,2347,0,1045,percent,category,Almost always,47,1.5080749523128703,,0.9628590758829008,2.354677382743383,0.3438125630622424
No caries,oral_speech,Frequency of discomfort from teeth or dentures when speaking,categorical,2347,2347,0,1045,percent,category,Almost never,80,3.009058860514468,,1.935196914981305,4.650559098336558,0.6729163751801607
No caries,oral_speech,Frequency of discomfort from teeth or dentures when speaking,categorical,2347,2347,0,1045,percent,category,Always,49,2.0799659705245577,,1.375268154085984,3.1342808130947115,0.4368458112542676
No caries,oral_speech,Frequency of discomfort from teeth or dentures when speaking,categorical,2347,2347,0,1045,percent,category,Never,2017,86.54535117769973,,84.07145070843684,88.68672878897242,1.1737316618898008
No caries,oral_speech,Frequency of discomfort from teeth or dentures when speaking,categorical,2347,2347,0,1045,percent,category,Sometimes,154,6.857549038948381,,5.221575791733958,8.957646015366768,0.9438591271295342
