model,n,df,rank,parameters,converged,predictions_above_one,formula,warnings
Primary linear water,4994,1045,36,36,True,0,"caries ~ water + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Water spline,4994,1045,39,39,True,0,"caries ~ bs(water, df=4, degree=3) + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Additional water context and dental attendance,4987,1045,43,43,True,0,"caries ~ water + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3) + C(household_water_source) + C(rural_water_consumption) + C(dental_visit)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Age at least 18,4780,1045,36,36,True,0,"caries ~ water + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Exclude water above 99th percentile,4962,1045,36,36,True,0,"caries ~ water + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Without remaining teeth,4994,1045,32,32,True,0,"caries ~ water + bs(age, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Modified Poisson prevalence ratio,4994,1045,36,36,True,15,"caries ~ water + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
Original 28-day beverage conversion,4994,1045,36,36,True,0,"caries ~ water + bs(age, df=4, degree=3) + bs(teeth_remaining, df=4, degree=3) + C(sex) + C(region) + C(rural) + C(education) + C(indigenous) + C(born_chile) + bs(soda_frequency, df=3, degree=3) + bs(juice_frequency, df=3, degree=3)",1 singleton stratum/strata: variance contribution replaced by the average of non-singleton strata; original strata preserved.
