variable,estimate,se,ci_low,ci_high,df,n,median_unweighted,minimum,maximum
age,41.71802598876856,0.40571759637129795,40.92191203642986,42.51413994110726,1045,5036,47.0,15.0,98.0
teeth_remaining,23.701135210552607,0.15921450404409293,23.38871866954513,24.013551751560083,1045,5036,24.0,1.0,32.0
decayed_teeth,1.4631378220821578,0.058908728207608486,1.3475449543829074,1.5787306897814082,1045,5036,1.0,0.0,24.0
water,4.211116002460616,0.08424733881264326,4.045802783423475,4.376429221497758,1045,5032,4.0,0.0,40.0
soda_frequency,0.8271001525412788,0.04907792469803381,0.7307976481555045,0.923402656927053,1045,5036,0.14285714285714285,0.0,31.0
juice_frequency,0.6659212086270868,0.04033340138787672,0.5867775286946548,0.7450648885595188,1045,5036,0.0,0.0,40.42857142857143
