model,weighting,classification_threshold,bootstrap_replicates,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_bootstrap_valid,auc_low,auc_high,brier_bootstrap_valid,brier_low,brier_high,log_loss_bootstrap_valid,log_loss_low,log_loss_high,sensitivity_bootstrap_valid,sensitivity_low,sensitivity_high,specificity_bootstrap_valid,specificity_low,specificity_high,ppv_bootstrap_valid,ppv_low,ppv_high,accuracy_bootstrap_valid,accuracy_low,accuracy_high,representation
rf_complete_historical,Survey weighted,0.5,1000.0,4994,2664,0.5461201107907396,0.5912279093399642,0.6361583214962999,0.2416912350751473,0.6761223983353924,0.7500460633056919,0.34533076814048147,0.5795705810229203,0.5345000228130528,0.566353929974813,0.5476884157230867,0.544987456131778,0.004702386068258064,0.9395618046710502,0.015249644714864317,Estimated,1000.0,0.5622462369841464,0.6179723856266491,1000.0,0.23724244858856577,0.24629321251771877,1000.0,0.666891133381732,0.6856511754746527,1000.0,0.7218015360003036,0.7800519325357979,1000.0,0.31088200088899,0.3796926650929757,1000.0,0.5495118400429212,0.6105052312094487,1000.0,0.542209236088578,0.590225289543,"Historical 90-term coding, complete cohort"
rf_complete_historical,Unweighted,0.5,,4994,2664,0.5334401281537845,0.6083342999652087,0.631908684775848,0.2405736515470171,0.6738931323650541,0.8089339339339339,0.3094420600858369,0.5725292242295431,0.5861788617886179,0.5758910692831397,0.5591879970098854,0.553357254355157,-0.08239693771559699,1.1952874522185803,-0.12385194258576801,Estimated,,,,,,,,,,,,,,,,,,,,,,"Historical 90-term coding, complete cohort"
rf_complete_modern,Survey weighted,0.5,1000.0,4994,2664,0.5461201107907396,0.5911340057461885,0.6345960431634636,0.24184247057650965,0.6764588151171583,0.7380299770520716,0.3545926100260833,0.5791071045409905,0.5293993337534069,0.5639954673876255,0.5463112935390775,0.5439966336407018,0.008817499955410965,0.9217289690772601,0.022132960748788944,Estimated,1000.0,0.5633477946456357,0.6184415287339916,1000.0,0.23752967544470274,0.2465403455969326,1000.0,0.6674012182885145,0.6860882613744025,1000.0,0.7028965668795022,0.7698476113082433,1000.0,0.31767815240019026,0.3914999169559398,1000.0,0.5491458354251318,0.6097912176023839,1000.0,0.537667507272298,0.5885366911470039,"Modern coding, complete cohort"
rf_complete_modern,Unweighted,0.5,,4994,2664,0.5334401281537845,0.6095358233770326,0.6330529275012056,0.24034268124264047,0.6734067019092622,0.8010510510510511,0.30901287553648066,0.5699786324786325,0.5760000000000001,0.5714857829395275,0.5550319632937659,0.5528226884828165,-0.08024138646832181,1.1906784364754284,-0.12012752585311609,Estimated,,,,,,,,,,,,,,,,,,,,,,"Modern coding, complete cohort"
