feature,mdi,n_encoded_columns,mdi_scaled,rank,model,fold,test_weight_sum,representation
indigenous,0.0028940131163171052,2,1.639609731275334,26.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
born_chile,0.0004522000393136917,2,0.0,27.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
teeth_remaining,0.1283705562721367,2,85.89362701975085,2.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
fish,0.026259669051468065,4,17.3289993941071,18.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
dairy_frequency,0.041299997209182426,7,27.428162446844084,9.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
dairy_type,0.025443518497862746,3,16.780976942069444,20.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
wholegrain,0.04474178954922939,6,29.73923050807964,5.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
legumes,0.027647721832743673,4,18.26103832416976,16.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
fruit_days,0.03350700023580247,2,22.19538120175653,13.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
fruit_portions,0.03591668724357747,2,23.813419168906837,10.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
vegetable_days,0.028834810453922905,2,19.05813539662883,15.0,rf_complete_modern,5,2793890.080402851,"Modern coding, complete cohort"
