model,fold,repeat,brier_increase,auc_drop,n_test,test_weight_sum,feature,n_input_columns,representation
rf_complete_modern,1,1,0.006126037541725776,0.036036437668873766,997,2854394.5302591324,age,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.0037881425174877414,0.025844240301234,997,2854394.5302591324,age,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,0.00416042859084001,0.020346435010440422,997,2854394.5302591324,age,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,0.0045489276641254295,0.019081465183017565,997,2854394.5302591324,age,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,0.006694447008285531,0.04174956862030388,997,2854394.5302591324,age,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,0.0012614564454097865,0.007412099112678705,997,2854394.5302591324,sex,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.0018217542593566838,0.010697804380290221,997,2854394.5302591324,sex,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,0.0036959112192483934,0.022792496112150507,997,2854394.5302591324,sex,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,0.0018824860374225538,0.015406286499098809,997,2854394.5302591324,sex,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,-0.0006492258724790922,-0.0038005197994672724,997,2854394.5302591324,sex,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,0.002955712340002359,0.01987732481586768,997,2854394.5302591324,region,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.002048728615500567,0.011605376426928937,997,2854394.5302591324,region,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,0.001778334464697967,0.012828706884820407,997,2854394.5302591324,region,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,0.003615271689426075,0.021227258788651948,997,2854394.5302591324,region,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,0.001964903676102331,0.01086154056945865,997,2854394.5302591324,region,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,-9.143239355580146e-05,-0.0010475879527477305,997,2854394.5302591324,rural,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,3.3329941795945395e-05,-3.888917626337918e-05,997,2854394.5302591324,rural,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,0.00019992082480507767,0.0013478659516964475,997,2854394.5302591324,rural,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,0.0002777719066049955,0.0025357888824569796,997,2854394.5302591324,rural,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,0.00010583165055635946,0.0009557928776755542,997,2854394.5302591324,rural,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,0.0003873826789337065,-0.004117026101508325,997,2854394.5302591324,education,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.0016186298708430746,0.007790279166445702,997,2854394.5302591324,education,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,0.00022052742821182525,0.0017216291934677441,997,2854394.5302591324,education,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,0.0006568054553287572,-0.006780282824906725,997,2854394.5302591324,education,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,0.00021068388276346273,-0.0009505755353628187,997,2854394.5302591324,education,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,6.687284465795029e-05,0.0004279286563731999,997,2854394.5302591324,indigenous,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,4.7877245577226946e-05,0.0008484220622941852,997,2854394.5302591324,indigenous,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,2.2066568852757706e-05,0.0003885906975179543,997,2854394.5302591324,indigenous,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,-0.00017007719768352692,-0.0020652991900892426,997,2854394.5302591324,indigenous,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,0.00016947458191102216,0.0020808016907611915,997,2854394.5302591324,indigenous,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,-1.5972034616840158e-06,6.253375045173204e-05,997,2854394.5302591324,born_chile,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,1.1127200096411327e-05,0.000289423663935362,997,2854394.5302591324,born_chile,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,5.538971683261007e-07,6.833809260842205e-05,997,2854394.5302591324,born_chile,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,5.521513874201522e-06,1.6140593626756683e-05,997,2854394.5302591324,born_chile,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,-1.0250597913097348e-05,-6.0665370880119696e-05,997,2854394.5302591324,born_chile,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,0.006406668315566633,0.04395484475695666,997,2854394.5302591324,teeth_remaining,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.0016045945919468951,0.0006155853258101862,997,2854394.5302591324,teeth_remaining,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,0.00454728908812238,0.013034164450330454,997,2854394.5302591324,teeth_remaining,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,0.0056178918813623024,0.02950076054175188,997,2854394.5302591324,teeth_remaining,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,0.0106117261885402,0.07737702599462026,997,2854394.5302591324,teeth_remaining,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,-0.0004279987731427848,-0.0031599048709284316,997,2854394.5302591324,fish,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.0010276423257102318,0.0044044976417838555,997,2854394.5302591324,fish,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,-0.0001853872207852325,-0.0038230641486213246,997,2854394.5302591324,fish,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,-0.0005015296989994422,-0.00602928271308889,997,2854394.5302591324,fish,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,-0.0003883519311588812,-0.006175359116905033,997,2854394.5302591324,fish,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,-0.0005713484750944076,-0.0037365080499698333,997,2854394.5302591324,dairy_frequency,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.00039130319751681797,-0.004496324963791265,997,2854394.5302591324,dairy_frequency,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,-0.0009151134717625964,-0.00749755600960289,997,2854394.5302591324,dairy_frequency,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,-0.0006648462971562685,-0.009345382885656894,997,2854394.5302591324,dairy_frequency,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,-0.000711427043977253,-0.00546334887630151,997,2854394.5302591324,dairy_frequency,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,0.0002597904753713909,-0.0002829711157738002,997,2854394.5302591324,dairy_type,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,-0.0009901708922471775,-0.011522374813467962,997,2854394.5302591324,dairy_type,1,"Modern coding, complete cohort"
rf_complete_modern,1,3,5.59076561172378e-05,-0.0014857691134397832,997,2854394.5302591324,dairy_type,1,"Modern coding, complete cohort"
rf_complete_modern,1,4,9.389215799218698e-05,-0.0022372729375913503,997,2854394.5302591324,dairy_type,1,"Modern coding, complete cohort"
rf_complete_modern,1,5,-0.0009766921495318048,-0.007360452536093964,997,2854394.5302591324,dairy_type,1,"Modern coding, complete cohort"
rf_complete_modern,1,1,0.0015022549671026286,0.0037479746438372485,997,2854394.5302591324,wholegrain,1,"Modern coding, complete cohort"
rf_complete_modern,1,2,0.0005120963619667795,0.00010615845000228052,997,2854394.5302591324,wholegrain,1,"Modern coding, complete cohort"
