water,adjusted_prevalence,ci_low,ci_high,n
0.0,0.5444069447763066,0.46600351746870594,0.6206693282427257,4994
0.5,0.5520931240953747,0.5019098969842511,0.601237290574181,4994
1.0,0.5570845871835812,0.5147069293079649,0.5986472642407235,4994
1.5,0.5597655961336203,0.5159103691588904,0.602707357323356,4994
2.0,0.5605132323489924,0.5159176987917269,0.6041526318138905,4994
2.5,0.5596989216711402,0.517547919226144,0.6010063403242321,4994
3.0,0.5576908493707968,0.5200981875780312,0.5946339002369362,4994
3.5,0.5548562812948348,0.5215589980658408,0.5876682572643206,4994
4.0,0.551563267659186,0.5200035582944986,0.582713091572855,4994
4.5,0.5481245858950512,0.5154788943686687,0.5803613220254271,4994
5.0,0.5446265050039278,0.509508877288704,0.5793058519346681,4994
5.5,0.5410986476850761,0.5032532580654213,0.5784757841111332,4994
6.0,0.5375707851869462,0.4972970961915855,0.5773600931343202,4994
6.5,0.5340728110617188,0.49184809981029304,0.5758148418730874,4994
7.0,0.5306347123184358,0.48689313382221555,0.5739106212787157,4994
7.5,0.5272865396085092,0.4822836560431004,0.5718503304160538,4994
8.0,0.5240583780316904,0.4777845856133497,0.5699227462630122,4994
8.5,0.5209803200426814,0.4731146592457166,0.5684638304495266,4994
9.0,0.518082441768591,0.46799317444619026,0.5678109101866966,4994
9.5,0.5153947838164903,0.46219273394690236,0.5682501820912556,4994
10.0,0.5129473373601123,0.455582858626048,0.5699727586280937,4994
10.5,0.5107700359473889,0.4481466222217022,0.5730572137738839,4994
11.0,0.508892753068199,0.43996654591659684,0.5774825204473355,4994
11.5,0.5073453050662394,0.4311926973502517,0.5831585817263021,4994
12.0,0.5061574584716094,0.4220097458453354,0.5899577587603617,4994
