model,weighting,classification_threshold,bootstrap_replicates,n,events,prevalence,auc,average_precision,brier,log_loss,sensitivity,specificity,ppv,npv,accuracy,balanced_accuracy,mean_prediction,calibration_intercept,calibration_slope,joint_calibration_intercept,calibration_status,auc_bootstrap_valid,auc_low,auc_high,brier_bootstrap_valid,brier_low,brier_high,log_loss_bootstrap_valid,log_loss_low,log_loss_high,sensitivity_bootstrap_valid,sensitivity_low,sensitivity_high,specificity_bootstrap_valid,specificity_low,specificity_high,ppv_bootstrap_valid,ppv_low,ppv_high,accuracy_bootstrap_valid,accuracy_low,accuracy_high,base_model,encoding,encoding_label
random_forest,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.5922480221277648,0.6329908095520442,0.24184305628658087,0.676507099311015,0.7468422577637693,0.3600461419759265,0.584317855728704,0.5414429802454918,0.5713849001368787,0.5534441998698479,0.5446093791004024,0.007361228699423513,0.926120309904146,0.020103974403348247,Estimated,1000.0,0.5650750627116737,0.618364346398794,1000.0,0.23740946493550144,0.24637742447783553,1000.0,0.6673184757076976,0.6858123113387724,1000.0,0.7158837665974884,0.7765494668289017,1000.0,0.3248455309613094,0.39540310908908827,1000.0,0.5542727712755189,0.6142746810353023,1000.0,0.5479227283931459,0.5949171727202334,random_forest,physical,Reported glasses/day
random_forest,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6122792237085143,0.634858679976996,0.2400001941371987,0.6727096866029809,0.8051320193380439,0.31785257775884107,0.5748805098247477,0.5874015748031496,0.5780381254964257,0.5614922985484425,0.5527617920389265,-0.07781870092994925,1.2294787701420946,-0.1256403796695156,Estimated,,,,,,,,,,,,,,,,,,,,,,random_forest,physical,Reported glasses/day
random_forest_water_index,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.5922480221277648,0.6329908095520442,0.24184305628658087,0.6765070993110152,0.7468422577637693,0.3600461419759265,0.584317855728704,0.5414429802454918,0.5713849001368787,0.5534441998698479,0.5446093791004024,0.007361228699423513,0.9261203099041461,0.02010397440334822,Estimated,1000.0,0.5650750627116737,0.618364346398794,1000.0,0.23740946493550144,0.24637742447783553,1000.0,0.6673184757076976,0.6858123113387724,1000.0,0.7158837665974884,0.7765494668289017,1000.0,0.3248455309613094,0.39540310908908827,1000.0,0.5542727712755189,0.6142746810353023,1000.0,0.5479227283931459,0.5949171727202334,random_forest,index,Historical factor index
random_forest_water_index,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6122792237085143,0.634858679976996,0.2400001941371987,0.6727096866029809,0.8051320193380439,0.31785257775884107,0.5748805098247477,0.5874015748031496,0.5780381254964257,0.5614922985484425,0.5527617920389265,-0.07781870092994926,1.2294787701420946,-0.12564037966951563,Estimated,,,,,,,,,,,,,,,,,,,,,,random_forest,index,Historical factor index
random_forest_water_nominal,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.5896549523187918,0.6344270657610794,0.241925571868625,0.676609024628183,0.7526151848989008,0.3473879604799494,0.5814278276080138,0.5382826331697195,0.5687971600198026,0.5500015726894251,0.5455332705604578,0.003525787359689898,0.9280867237069133,0.016229966646672138,Estimated,1000.0,0.5627934463003794,0.6155731362512245,1000.0,0.23745374055103186,0.24654396897123276,1000.0,0.6672687071309391,0.6862136615867447,1000.0,0.7213371419175711,0.7822420982508497,1000.0,0.31046855329908857,0.38123866077477697,1000.0,0.5495907194338087,0.6127979888264095,1000.0,0.5435541395177077,0.5934004682243194,random_forest,nominal,Nominal water categories
random_forest_water_nominal,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6119295214466363,0.636678234080621,0.2399309902900796,0.6725360484429082,0.8129416139828932,0.3072006817213464,0.5734522560335782,0.5890522875816994,0.5772438443208896,0.5600711478521199,0.5529418969919597,-0.0785218086606415,1.2546171753970727,-0.13185627093478022,Estimated,,,,,,,,,,,,,,,,,,,,,,random_forest,nominal,Nominal water categories
spline_logistic,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6055506351706725,0.6407101431281326,0.23993433249254253,0.6727143754849232,0.7586097775339109,0.3522327056602859,0.5851672551283796,0.5478062556298622,0.5742701621117947,0.5554212415970984,0.5457840478186642,0.0024755389330894245,1.1672356056788056,-0.027415753073739325,Estimated,1000.0,0.579303426724771,0.6318202090841653,1000.0,0.23573297961716533,0.24445917027505815,1000.0,0.6640929193560495,0.6819568135554488,1000.0,0.7275157079019471,0.7875725122038156,1000.0,0.3177722592926524,0.387770937927375,1000.0,0.5547093439754581,0.6153584428786013,1000.0,0.5493480403533076,0.5989859325485403,spline_logistic,physical,Reported glasses/day
spline_logistic,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6166293487187543,0.6301074617684703,0.24018244319348228,0.6733048943262491,0.8289326887318706,0.29867916489135066,0.5752258064516129,0.6037898363479759,0.5818109610802225,0.5638059268116107,0.5565198651455702,-0.09312268460886042,1.3307180545188404,-0.16812301591537668,Estimated,,,,,,,,,,,,,,,,,,,,,,spline_logistic,physical,Reported glasses/day
spline_logistic_water_index,Survey weighted,0.5,1000.0,5036,2689,0.5463828346116878,0.6051430127473645,0.6398164710383222,0.24000199323154037,0.6728562794364097,0.7571516989432338,0.35208588726702894,0.5846451291104019,0.546210716711985,0.5734068936549579,0.5546187931051314,0.5457758418434586,0.0025096868159313395,1.1586114606835132,-0.02583703573878673,Estimated,1000.0,0.5790828461385215,0.6313849043662366,1000.0,0.2357732426482456,0.24454913425109548,1000.0,0.664227381353477,0.6821809082545334,1000.0,0.72584038741898,0.7863176125894145,1000.0,0.31782252102870034,0.3881041165017559,1000.0,0.5533047225541172,0.6150783155223931,1000.0,0.5480241163511623,0.5978498464595293,spline_logistic,index,Historical factor index
spline_logistic_water_index,Unweighted,0.5,,5036,2689,0.5339555202541699,0.6165943309571434,0.6297804282621795,0.24018506370751097,0.67331281240255,0.827817032354035,0.2982530890498509,0.5747482571649883,0.6018916595012898,0.5810166799046863,0.563035060701943,0.5565024857899505,-0.09305675587263641,1.3277909420120115,-0.16737033156409917,Estimated,,,,,,,,,,,,,,,,,,,,,,spline_logistic,index,Historical factor index
