model,fold,feature,repeat,brier_increase,auc_drop,n_test,test_weight_sum,base_model,encoding,encoding_label
random_forest,1,water,1,0.0007137616043735029,0.011141043472159051,1006,2861322.5562906265,random_forest,physical,Reported glasses/day
random_forest,1,water,2,0.00019200458263851639,0.0020481182030163136,1006,2861322.5562906265,random_forest,physical,Reported glasses/day
random_forest,1,water,3,-0.0005375301613111672,0.0008301525395741916,1006,2861322.5562906265,random_forest,physical,Reported glasses/day
random_forest,1,water,4,-0.00035910521423340724,-0.0001856262583278534,1006,2861322.5562906265,random_forest,physical,Reported glasses/day
random_forest,1,water,5,1.0238781450233603e-05,0.001720059791813,1006,2861322.5562906265,random_forest,physical,Reported glasses/day
random_forest,2,water,1,-0.0014866926902844246,-0.00545296206800816,1007,2574325.41285038,random_forest,physical,Reported glasses/day
random_forest,2,water,2,-0.001615783462566911,-0.008935793384153623,1007,2574325.41285038,random_forest,physical,Reported glasses/day
random_forest,2,water,3,-0.0004089789717861836,0.0003675176615238751,1007,2574325.41285038,random_forest,physical,Reported glasses/day
random_forest,2,water,4,-0.0028888429542171523,-0.016214531121765074,1007,2574325.41285038,random_forest,physical,Reported glasses/day
random_forest,2,water,5,0.0010752158379441212,0.007691121881811425,1007,2574325.41285038,random_forest,physical,Reported glasses/day
random_forest,3,water,1,8.70899949317605e-05,0.0009290182281109782,1011,2776332.157348156,random_forest,physical,Reported glasses/day
random_forest,3,water,2,-0.00011300028251715055,-0.00028908117535364486,1011,2776332.157348156,random_forest,physical,Reported glasses/day
random_forest,3,water,3,9.097620409298512e-05,0.001304354065222335,1011,2776332.157348156,random_forest,physical,Reported glasses/day
random_forest,3,water,4,1.9885725922097475e-05,0.0003433187885882871,1011,2776332.157348156,random_forest,physical,Reported glasses/day
random_forest,3,water,5,0.0001865139602382493,0.0011681152948914697,1011,2776332.157348156,random_forest,physical,Reported glasses/day
random_forest,4,water,1,8.660896432405307e-05,0.0026775025055435497,1007,2777806.4952178,random_forest,physical,Reported glasses/day
random_forest,4,water,2,-0.00019075372747032193,-0.001322739169351772,1007,2777806.4952178,random_forest,physical,Reported glasses/day
