model,feature,n_input_columns,brier_increase,auc_drop,median_rank,best_rank,worst_rank,fraction_top3,minimum_fold_brier_increase,maximum_fold_brier_increase,minimum_fold_auc_drop,maximum_fold_auc_drop,representation
rf_complete_historical,label_health,4,-8.202012839246874e-05,-0.0006886081159884394,14.0,12.0,20.0,0.0,-0.0006679883070863535,0.00023654966636197373,-0.005626277372122601,0.002478414613842639,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_ingredients,4,-0.0002652714554415603,-0.0015113701888069327,22.0,11.0,24.0,0.0,-0.0010730636682240169,0.0002377457847925757,-0.005999724882595725,0.0012757976121965386,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_nutrition,4,-0.00019121320761074254,-0.0008804585951857811,20.0,8.0,24.0,0.0,-0.0007865005462976083,0.00027191449747529517,-0.005005292034310061,0.0022297469085158063,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_warnings,4,9.682508914633388e-05,-0.0005973846912360159,6.0,3.0,25.0,0.2,-0.0015007517449258656,0.0007721097385418874,-0.009438330414478923,0.0033731629023177057,"Historical 90-term coding, complete cohort"
rf_complete_historical,legumes,3,-0.0001677381418929579,-0.00014766587281097988,18.0,15.0,22.0,0.0,-0.0008827371728428069,3.517068357161146e-05,-0.002562665159414501,0.0007222888213649581,"Historical 90-term coding, complete cohort"
rf_complete_historical,oil,6,8.105879555826103e-05,-0.0002864779147712939,14.0,12.0,20.0,0.0,-1.6356172909570698e-06,0.000271452848084347,-0.0022018587427725445,0.001023780468105584,"Historical 90-term coding, complete cohort"
rf_complete_historical,region,14,0.0012953011824482089,0.009865025599008108,4.0,1.0,16.0,0.4,0.0001832966487325338,0.0028637276224789733,-0.0010726797486879437,0.021384935315616426,"Historical 90-term coding, complete cohort"
rf_complete_historical,rural,1,0.00011846458648515235,0.0004848703083732793,11.0,10.0,17.0,0.0,7.88647999726e-06,0.00035925986013947143,-0.00023179056567526057,0.0019557955770602266,"Historical 90-term coding, complete cohort"
rf_complete_historical,sex,1,0.001089985965430129,0.006637015541128439,3.0,2.0,4.0,0.6,0.0008447358092797841,0.0014129194468978589,0.0021624913780659448,0.009902838056802832,"Historical 90-term coding, complete cohort"
rf_complete_historical,soda_frequency,1,0.00022314995094484865,0.00161832192707097,8.0,6.0,27.0,0.0,-0.0005180320822608053,0.0007617649257301518,-0.00679822707978357,0.008680042465413474,"Historical 90-term coding, complete cohort"
rf_complete_historical,teeth_remaining,1,0.0045774719420321,0.030637107095947337,1.0,1.0,21.0,0.8,-0.0001933247624398726,0.007989887741937918,-0.0005977898563732209,0.04519159139543092,"Historical 90-term coding, complete cohort"
rf_complete_historical,vegetable_days,7,-0.00023900896709105115,-0.0023835486320430816,25.0,8.0,26.0,0.0,-0.0007160651228570846,0.0006024927071063113,-0.005614712864269067,0.002366870721247838,"Historical 90-term coding, complete cohort"
rf_complete_historical,vegetable_portions,1,-0.00011853962796971637,-0.001539003484807327,19.0,10.0,21.0,0.0,-0.000763747791399233,0.00019127362603606478,-0.0054613869694449145,0.0010998448497187897,"Historical 90-term coding, complete cohort"
rf_complete_historical,water,1,-0.0003620559097571985,-0.0019092243339336532,20.0,16.0,24.0,0.0,-0.0012325454760737098,1.25383107881738e-05,-0.006994862261837565,0.001658330730006874,"Historical 90-term coding, complete cohort"
rf_complete_historical,wholegrain,5,0.00043942069048609304,0.0014543297388729995,6.0,3.0,26.0,0.2,-0.0010487720577241066,0.0017750074287138707,-0.0070648898033797815,0.010164202249672738,"Historical 90-term coding, complete cohort"
rf_complete_modern,age,1,0.0033749520932144037,0.025935645119541013,2.0,1.0,7.0,0.8,0.0005398594617589958,0.005063596664492897,0.009611389332514708,0.03456083962638836,"Modern coding, complete cohort"
rf_complete_modern,born_chile,1,-0.0001655673322299745,-0.0007396710594218559,18.0,15.0,23.0,0.0,-0.0008833579507648126,1.0709619528315173e-06,-0.004009937143859554,7.515414594843062e-05,"Modern coding, complete cohort"
rf_complete_modern,dairy_frequency,1,0.0003534082309164906,0.0008332760431176473,16.0,2.0,25.0,0.4,-0.0005866067152346278,0.0018272593719213803,-0.006107824157064479,0.011045377044846604,"Modern coding, complete cohort"
rf_complete_modern,dairy_type,1,-0.00027284136646856655,-0.0020820373290782474,13.0,6.0,26.0,0.0,-0.002143907574631632,0.0005567039939897045,-0.013944594278701383,0.004555483303381669,"Modern coding, complete cohort"
rf_complete_modern,education,1,0.0005851688392590914,0.004517245309478783,7.0,3.0,13.0,0.2,5.2421338251834594e-05,0.0012370689564045133,-0.00046719522037288466,0.00810577448585772,"Modern coding, complete cohort"
rf_complete_modern,fish,1,-0.0007652950280825364,-0.00454686766075016,24.0,16.0,27.0,0.0,-0.0027302339032458213,-9.512505967522178e-05,-0.014213578043512465,0.00036247301378693474,"Modern coding, complete cohort"
rf_complete_modern,fruit_days,1,-0.00013844364850080801,-0.0008650054370949764,18.0,5.0,27.0,0.0,-0.0005586912880120587,0.0005663404421054841,-0.0050207989284586805,0.003805871342608991,"Modern coding, complete cohort"
rf_complete_modern,fruit_portions,1,-0.00038872487880493747,-0.002289334851066767,19.0,12.0,26.0,0.0,-0.0010196138620533867,0.00011257367511093297,-0.0068018559342491345,0.0003703414370733515,"Modern coding, complete cohort"
rf_complete_modern,indigenous,1,-0.0001250904926789349,-0.0006832594146700472,15.0,12.0,22.0,0.0,-0.0008591675675571509,8.998741132094091e-05,-0.005475360980309474,0.0008146422095723693,"Modern coding, complete cohort"
rf_complete_modern,juice_frequency,1,8.422497417780819e-05,-6.806830117139576e-05,10.0,6.0,26.0,0.0,-0.0008322266403591016,0.0009294816352682867,-0.007266387866751068,0.005461695010182566,"Modern coding, complete cohort"
rf_complete_modern,label_brand,1,-0.0002456701780448006,-0.0026241332006278323,20.0,4.0,27.0,0.0,-0.0017689811693300638,0.0011288241452014236,-0.012582363674213105,0.0056113778435622486,"Modern coding, complete cohort"
rf_complete_modern,label_discounts,1,-0.00011527646861718115,0.00012646106516805598,17.0,6.0,22.0,0.0,-0.0005070809649048213,0.00032828235241803003,-0.002961193569007148,0.002860779156808424,"Modern coding, complete cohort"
rf_complete_modern,label_health,1,-0.00012696166139631752,-0.0009990888115595684,15.0,9.0,26.0,0.0,-0.0009195894451717645,0.00032853480316848984,-0.006283021444551817,0.0020822467516457,"Modern coding, complete cohort"
rf_complete_modern,label_ingredients,1,-0.0002981348725311704,-0.0022315882061375004,20.0,14.0,25.0,0.0,-0.000811982825086871,1.2272383751255056e-05,-0.006553152028396014,0.0017078444472003796,"Modern coding, complete cohort"
rf_complete_modern,label_nutrition,1,-0.000231916726441484,-0.00120170522877913,20.0,6.0,24.0,0.0,-0.0007567609199598535,0.0002972570287748888,-0.004017749450632424,0.0009211137449296692,"Modern coding, complete cohort"
rf_complete_modern,label_warnings,1,5.7524924683580235e-05,-0.0008097891446104884,8.0,5.0,25.0,0.0,-0.0012302188328336626,0.0006429932447063691,-0.008573211039309725,0.005112931671579069,"Modern coding, complete cohort"
rf_complete_modern,legumes,1,8.15926519097004e-05,0.0008548766643617254,12.0,10.0,21.0,0.0,-4.91547549292759e-05,0.00015501670037681436,-0.0005843498641104006,0.0034847056257570454,"Modern coding, complete cohort"
rf_complete_modern,oil,1,9.942907731431374e-05,-0.0005426351624291187,13.0,8.0,17.0,0.0,1.6653345369377347e-17,0.00035831773890129814,-0.0018187576331205823,0.00022652976786707857,"Modern coding, complete cohort"
rf_complete_modern,region,1,0.0010196740547507009,0.007730215938860752,4.0,1.0,14.0,0.4,-6.344539099952806e-05,0.00247259015714586,0.0011026979403776726,0.015280041497145524,"Modern coding, complete cohort"
rf_complete_modern,rural,1,7.522757891065469e-05,0.00036546122908727224,17.0,10.0,21.0,0.0,-8.300561322488465e-06,0.00027034427485475576,-0.00046346449031058333,0.0014082071325958844,"Modern coding, complete cohort"
rf_complete_modern,sex,1,0.0011362853826091962,0.0061052459433621085,4.0,3.0,7.0,0.4,0.0004426262575362216,0.001714204635153993,0.0012623780282496888,0.010501633260950194,"Modern coding, complete cohort"
rf_complete_modern,soda_frequency,1,0.0002968732334880105,0.0023548747470983704,10.0,5.0,27.0,0.0,-0.0006447629576066983,0.0013053999009377758,-0.00866566075361772,0.012238051115126746,"Modern coding, complete cohort"
rf_complete_modern,teeth_remaining,1,0.0038964165980038532,0.025604250284322415,2.0,1.0,21.0,0.8,-0.0003257193938623282,0.007537364675259878,0.00012726666623901205,0.04226822371490291,"Modern coding, complete cohort"
rf_complete_modern,vegetable_days,1,-0.00015431127935785526,-0.0011630819205861553,19.0,8.0,24.0,0.0,-0.0005872328629925539,0.0002567835535716489,-0.005425076271609841,0.002968054221913441,"Modern coding, complete cohort"
rf_complete_modern,vegetable_portions,1,-0.0002563185801557052,-0.001745934496770281,17.0,11.0,24.0,0.0,-0.0012090379771550475,8.711594682953572e-05,-0.007965897918597364,0.0015728630059947068,"Modern coding, complete cohort"
rf_complete_modern,water,1,-0.0001212874442968989,-0.00029993391496580034,16.0,9.0,23.0,0.0,-0.0005054510307409554,0.00017179649199680624,-0.004728139949792487,0.0028251010397954746,"Modern coding, complete cohort"
rf_complete_modern,wholegrain,1,0.00016026397508035148,-0.0017399248362293832,7.0,5.0,27.0,0.0,-0.0011020212483895675,0.0009968345706927173,-0.010066580332468034,0.004530064393554389,"Modern coding, complete cohort"
