model,feature,n_input_columns,brier_increase,auc_drop,median_rank,best_rank,worst_rank,fraction_top3,minimum_fold_brier_increase,maximum_fold_brier_increase,minimum_fold_auc_drop,maximum_fold_auc_drop,representation
rf_complete_historical,age,1,0.0035790652972913692,0.027357167765589965,2.0,2.0,8.0,0.8,0.000236910556200004,0.00621332180321506,0.012187283729114129,0.03742098294738831,"Historical 90-term coding, complete cohort"
rf_complete_historical,born_chile,1,-7.530037473664674e-05,-0.00031165815250907745,17.0,16.0,22.0,0.0,-0.00037589622986776704,0.0,-0.001773289163066094,0.00016293456445459764,"Historical 90-term coding, complete cohort"
rf_complete_historical,dairy_frequency,6,0.00013539641955574334,-0.0006861359870124096,19.0,5.0,25.0,0.0,-0.0003057194992884593,0.0010925495840599041,-0.005086902630312995,0.0065913795446834065,"Historical 90-term coding, complete cohort"
rf_complete_historical,dairy_type,2,-0.0003379150316293366,-0.0028469430030690084,19.0,7.0,26.0,0.0,-0.0018358157638552642,0.0003176534703900391,-0.013820760761235572,0.0030209310212452323,"Historical 90-term coding, complete cohort"
rf_complete_historical,education,2,0.0006246346911508904,0.004275448571443457,5.0,4.0,13.0,0.0,0.00018065431852777868,0.0010069089334739268,0.0016242089293505347,0.006534439678924042,"Historical 90-term coding, complete cohort"
rf_complete_historical,fish,3,-0.0007037076127633952,-0.004416858240110774,23.0,21.0,27.0,0.0,-0.0024830363582882043,-4.729701247344065e-05,-0.014649818474229947,0.0010639030594525646,"Historical 90-term coding, complete cohort"
rf_complete_historical,fruit_days,7,-8.233050183246059e-05,-0.001949490375917806,15.0,9.0,26.0,0.0,-0.0008947245452513852,0.0002426124349771963,-0.010164784653301728,0.001615948253597299,"Historical 90-term coding, complete cohort"
rf_complete_historical,fruit_portions,1,-0.0002644875618325654,-0.0016972827234521097,14.0,12.0,27.0,0.0,-0.0015859281156522741,0.00023787667824891058,-0.01188451338739065,0.0027175392454603653,"Historical 90-term coding, complete cohort"
rf_complete_historical,indigenous,1,-3.2527855418150955e-05,-3.44178913217366e-05,16.0,11.0,17.0,0.0,-0.0003605947251748065,6.644973031684209e-05,-0.0023907400566093085,0.000983293131545726,"Historical 90-term coding, complete cohort"
rf_complete_historical,juice_frequency,1,0.00011992095300731971,0.00015662584432676136,6.0,5.0,26.0,0.0,-0.0006122674370722059,0.0008968092478982337,-0.005128422058851045,0.003605628771724345,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_brand,4,-0.00026076518401957344,-0.0016324855464041833,15.0,10.0,27.0,0.0,-0.0013993828512971096,0.000402532060352534,-0.006113450932445375,0.0010011209576997304,"Historical 90-term coding, complete cohort"
rf_complete_historical,label_discounts,4,0.0001238800498713045,0.0003160623920853369,14.0,9.0,23.0,0.0,-0.00013850327892933056,0.0005217693146211233,-0.001637456416446903,0.0019260125938454832,"Historical 90-term coding, complete cohort"
