term,coef,se,ci_low,ci_high,p_value,model,family
C(region)[T.10 Biobio],0.45720631399543005,0.2289870282691042,0.007879566178518593,0.9065330618123415,0.046122569289896664,Without remaining teeth,binomial
C(region)[T.11 La Araucania],0.14450062337241099,0.26363333807648137,-0.37281038463285965,0.6618116313776816,0.5837319923315931,Without remaining teeth,binomial
C(region)[T.12 Los Rios],0.52797780729518,0.26187586961087594,0.014115368390134608,1.0418402462002252,0.044041085202616626,Without remaining teeth,binomial
C(region)[T.13 Los Lagos],0.43766749876003885,0.24219271649396015,-0.03757193497454564,0.9129069324946233,0.07103352704654567,Without remaining teeth,binomial
C(region)[T.14 Aysen],-0.38393843670962613,0.2477913515275639,-0.8701637175067205,0.10228684408746819,0.12157817650074766,Without remaining teeth,binomial
C(region)[T.15 Magallanes and Antarctica],-0.22121892682639294,0.2309883291054753,-0.674472700567031,0.23203484691424514,0.33843250176812123,Without remaining teeth,binomial
C(rural)[T.Urban],0.15961342149963348,0.17920333974571231,-0.19202594626071995,0.511252789259987,0.3733041113336284,Without remaining teeth,binomial
C(education)[T.Intermediate],0.31392703398727684,0.14145010497364116,0.036368448566120426,0.5914856194084332,0.026677149172554426,Without remaining teeth,binomial
C(education)[T.Low],0.35099586137570093,0.18863383109136295,-0.019148362483649484,0.7211400852350514,0.06306359733764373,Without remaining teeth,binomial
C(indigenous)[T.Yes],0.18337467764563703,0.17206049552198074,-0.1542487391262597,0.5209980944175338,0.28677967497246704,Without remaining teeth,binomial
C(born_chile)[T.Yes],-0.18937726616290662,0.3961457330427207,-0.966708957111133,0.5879544247853198,0.6327149651849365,Without remaining teeth,binomial
water,-0.013282902667490739,0.015302691597281974,-0.043310405536218136,0.016744600201236658,0.38558766831414115,Without remaining teeth,binomial
"bs(age, df=4, degree=3)[0]",0.9780102945657723,0.4227360731141608,0.1485020627979281,1.8075185263336164,0.020887163997079246,Without remaining teeth,binomial
"bs(age, df=4, degree=3)[1]",1.7256162195391949,0.4064560669407506,0.9280532131565242,2.5231792259218655,2.3749182924298063e-05,Without remaining teeth,binomial
"bs(age, df=4, degree=3)[2]",0.3719330711165797,0.6303533212459266,-0.8649693418802186,1.6088354841133778,0.5552920329620835,Without remaining teeth,binomial
"bs(age, df=4, degree=3)[3]",1.7373245823926249,0.8118984598967829,0.14418763790919886,3.330461526876051,0.03259959475390569,Without remaining teeth,binomial
"bs(soda_frequency, df=3, degree=3)[0]",1.4602508755173442,0.8179957422386491,-0.1448503800709562,3.0653521311056444,0.07452581124575,Without remaining teeth,binomial
"bs(soda_frequency, df=3, degree=3)[1]",-0.43053148576588063,3.3758671025292677,-7.054781766261954,6.193718794730193,0.8985437893789167,Without remaining teeth,binomial
"bs(soda_frequency, df=3, degree=3)[2]",-0.21674421356997203,1.0150735601074452,-2.208558793660539,1.775070366520595,0.8309586569256827,Without remaining teeth,binomial
"bs(juice_frequency, df=3, degree=3)[0]",-0.20103168293473805,1.1933106421928144,-2.5425896045550154,2.1405262386855393,0.8662496764968756,Without remaining teeth,binomial
"bs(juice_frequency, df=3, degree=3)[1]",6.452080853080693,6.062838402490157,-5.4446430902901195,18.348804796451503,0.28748333066367976,Without remaining teeth,binomial
"bs(juice_frequency, df=3, degree=3)[2]",-5.321074509748715,5.6109731154432065,-16.33113180909655,5.6889827895991205,0.34317888423286247,Without remaining teeth,binomial
Intercept,-1.5271628660985714,0.2607349556379478,-2.038786561748727,-1.0155391704484158,6.302520339954789e-09,Modified Poisson prevalence ratio,poisson
C(sex)[T.Male],0.1533883369413169,0.04605278818743822,0.06302186640113985,0.24375480748149395,0.0008965576308568288,Modified Poisson prevalence ratio,poisson
C(region)[T.02 Tarapaca],-0.06477936523653177,0.12915002607666148,-0.3182022845876596,0.18864355411459605,0.6160670332137484,Modified Poisson prevalence ratio,poisson
C(region)[T.03 Antofagasta],-0.09516137215354017,0.11609426527270933,-0.3229657986727453,0.13264305436566493,0.41257944885878867,Modified Poisson prevalence ratio,poisson
C(region)[T.04 Atacama],-0.07514968851599049,0.1090128336716652,-0.2890586701480479,0.13875929311606694,0.49074631554320985,Modified Poisson prevalence ratio,poisson
C(region)[T.05 Coquimbo],0.19254802441118157,0.09846206487602334,-0.0006578516093972142,0.3857539004317604,0.050783744060969416,Modified Poisson prevalence ratio,poisson
C(region)[T.06 Valparaiso],-0.11698844985163041,0.09554687255004911,-0.3044740285392465,0.07049712883598565,0.22107393102022585,Modified Poisson prevalence ratio,poisson
C(region)[T.07 Metropolitan],0.049810974040206464,0.08130512160071779,-0.10972891844128463,0.20935086652169754,0.5402460333118326,Modified Poisson prevalence ratio,poisson
C(region)[T.08 O'Higgins],0.3542228413399433,0.0940970011458242,0.16958225351376383,0.5388634291661227,0.0001762166332822071,Modified Poisson prevalence ratio,poisson
C(region)[T.09 Maule],0.0578135504917953,0.13277537571784137,-0.20272316293004386,0.31835026391363447,0.663344800077056,Modified Poisson prevalence ratio,poisson
C(region)[T.10 Biobio],0.1755042422667839,0.09611067234048883,-0.013087645054002506,0.3640961295875703,0.0681258462361732,Modified Poisson prevalence ratio,poisson
C(region)[T.11 La Araucania],0.026305405301136557,0.11846919283915444,-0.20615919121895365,0.2587700018212268,0.8243228073358008,Modified Poisson prevalence ratio,poisson
C(region)[T.12 Los Rios],0.18318064070023207,0.10319130037938937,-0.019305114728583206,0.38566639612904735,0.0761631785752532,Modified Poisson prevalence ratio,poisson
C(region)[T.13 Los Lagos],0.15848247633669155,0.09973957822105899,-0.03723018323820712,0.35419513591159024,0.11237128056932144,Modified Poisson prevalence ratio,poisson
C(region)[T.14 Aysen],-0.2218450138781946,0.1308242104080516,-0.478553079145909,0.034863051389519784,0.09023130569526845,Modified Poisson prevalence ratio,poisson
C(region)[T.15 Magallanes and Antarctica],-0.11610834520009368,0.11283256559871957,-0.3375125449555933,0.10529585455540595,0.3037026496747,Modified Poisson prevalence ratio,poisson
C(rural)[T.Urban],0.0709723338966052,0.07296336064732843,-0.07219904920431214,0.21414371699752255,0.330921573422018,Modified Poisson prevalence ratio,poisson
C(education)[T.Intermediate],0.11503722148945275,0.06578383584094823,-0.014046234638018129,0.24412067761692363,0.08063379515218941,Modified Poisson prevalence ratio,poisson
C(education)[T.Low],0.1183169129079785,0.08339022728886145,-0.04531445045197258,0.28194827626792957,0.15624551295586842,Modified Poisson prevalence ratio,poisson
C(indigenous)[T.Yes],0.06771133866175821,0.07255546379798178,-0.07465965427668098,0.2100823316001974,0.3509139325116622,Modified Poisson prevalence ratio,poisson
C(born_chile)[T.Yes],-0.08313805144738179,0.16701838288723034,-0.41086764982517937,0.2445915469304158,0.6187453595043934,Modified Poisson prevalence ratio,poisson
water,-0.005291094402495897,0.00673234426555444,-0.018501547312825918,0.007919358507834122,0.4320916164999182,Modified Poisson prevalence ratio,poisson
"bs(age, df=4, degree=3)[0]",0.565705604929774,0.21006098851219704,0.1535162266717654,0.9778949831877826,0.007193388212515983,Modified Poisson prevalence ratio,poisson
"bs(age, df=4, degree=3)[1]",0.4959779250647738,0.18314125673393608,0.1366114321180445,0.8553444180115031,0.006875988249434968,Modified Poisson prevalence ratio,poisson
"bs(age, df=4, degree=3)[2]",0.1322431420517029,0.2844442244467803,-0.42590375068746017,0.690390034790866,0.6420872825516607,Modified Poisson prevalence ratio,poisson
"bs(age, df=4, degree=3)[3]",0.6842857827003269,0.31018691819879335,0.07562563184749715,1.2929459335531566,0.027597956368689114,Modified Poisson prevalence ratio,poisson
"bs(teeth_remaining, df=4, degree=3)[0]",0.5698503822867278,0.28958774110068913,0.00161069246681933,1.1380900721066363,0.04935531859196351,Modified Poisson prevalence ratio,poisson
"bs(teeth_remaining, df=4, degree=3)[1]",0.6950541912376186,0.16189613225984675,0.37737566096312253,1.0127327215121147,1.9248225401223866e-05,Modified Poisson prevalence ratio,poisson
"bs(teeth_remaining, df=4, degree=3)[2]",0.061063854058958145,0.2000842900455494,-0.3315488804482935,0.4536765885662098,0.7602817306726662,Modified Poisson prevalence ratio,poisson
"bs(teeth_remaining, df=4, degree=3)[3]",0.23154251714540192,0.17653113830969505,-0.11485335892097542,0.5779383932117792,0.18993504020833482,Modified Poisson prevalence ratio,poisson
"bs(soda_frequency, df=3, degree=3)[0]",0.593290785617366,0.31199051868185884,-0.01890845627281479,1.2054900275075469,0.05749424807984587,Modified Poisson prevalence ratio,poisson
"bs(soda_frequency, df=3, degree=3)[1]",-0.5033106549205404,1.1977978062824248,-2.8536734545400035,1.8470521446989228,0.6744281675812921,Modified Poisson prevalence ratio,poisson
"bs(soda_frequency, df=3, degree=3)[2]",-0.004024449201884495,0.3452055779985825,-0.6813994990587513,0.6733506006549823,0.9907005992935897,Modified Poisson prevalence ratio,poisson
"bs(juice_frequency, df=3, degree=3)[0]",-0.09935450221577627,0.43823227584000357,-0.9592699514882372,0.7605609470566848,0.8206885107937445,Modified Poisson prevalence ratio,poisson
"bs(juice_frequency, df=3, degree=3)[1]",2.5846513890443252,1.733247908472071,-0.8163912453837905,5.9856940234724405,0.13620591966988502,Modified Poisson prevalence ratio,poisson
"bs(juice_frequency, df=3, degree=3)[2]",-2.665108657746247,1.599693182854857,-5.804085309787624,0.47386799429513005,0.09601064518840591,Modified Poisson prevalence ratio,poisson
Intercept,-1.7943176380266503,0.5780976068493294,-2.928681971106193,-0.659953304947108,0.0019616792268164693,Original 28-day beverage conversion,binomial
C(sex)[T.Male],0.3693678533670884,0.10990715339389028,0.15370400476578205,0.5850317019683947,0.0008055019782161703,Original 28-day beverage conversion,binomial
C(region)[T.02 Tarapaca],-0.11310646843815753,0.268554120424788,-0.64007321609817,0.413860279221855,0.6737188364651084,Original 28-day beverage conversion,binomial
C(region)[T.03 Antofagasta],-0.1883615965402146,0.2401026028862613,-0.6594997326728601,0.282776539592431,0.4329218801240805,Original 28-day beverage conversion,binomial
C(region)[T.04 Atacama],-0.15396981388423764,0.2332551710360671,-0.6116716680257045,0.3037320402572292,0.5093404142029684,Original 28-day beverage conversion,binomial
C(region)[T.05 Coquimbo],0.465602742495269,0.24570196447007808,-0.016522666363369687,0.9477281513539078,0.05836954761578427,Original 28-day beverage conversion,binomial
C(region)[T.06 Valparaiso],-0.233171573426313,0.19857538654974133,-0.6228234821362875,0.15648033528366145,0.24057366560367108,Original 28-day beverage conversion,binomial
C(region)[T.07 Metropolitan],0.12225292973290032,0.18236651391798178,-0.23559333443703484,0.48009919390283545,0.5027704555812853,Original 28-day beverage conversion,binomial
C(region)[T.08 O'Higgins],1.0274022268872942,0.2834224038694975,0.47126038797285386,1.5835440658017346,0.00030290407642963676,Original 28-day beverage conversion,binomial
C(region)[T.09 Maule],0.13980901139394486,0.29734395638260797,-0.4436502086078078,0.7232682313956975,0.6383153303982321,Original 28-day beverage conversion,binomial
C(region)[T.10 Biobio],0.43489086922669484,0.2376079289027343,-0.03135212609227833,0.901133864545668,0.06749163285175837,Original 28-day beverage conversion,binomial
C(region)[T.11 La Araucania],0.06967649505116076,0.27334278143638024,-0.46668673892949936,0.6060397290318209,0.7988464791092377,Original 28-day beverage conversion,binomial
C(region)[T.12 Los Rios],0.4776135308893339,0.2715037339107889,-0.0551410565666699,1.0103681183453377,0.07884607244275939,Original 28-day beverage conversion,binomial
C(region)[T.13 Los Lagos],0.4180053651509101,0.25022039753528985,-0.07298627883801756,0.9089970091398377,0.09511029349381887,Original 28-day beverage conversion,binomial
C(region)[T.14 Aysen],-0.4467826123144938,0.25606890694907963,-0.949250416041983,0.05568519141299544,0.08131801896925107,Original 28-day beverage conversion,binomial
C(region)[T.15 Magallanes and Antarctica],-0.2410982011857826,0.23109193397395256,-0.6945552722003439,0.2123588698287787,0.29705068646742766,Original 28-day beverage conversion,binomial
C(rural)[T.Urban],0.16759287882538917,0.18425683963754103,-0.19396265182267172,0.5291484094734501,0.36326368060106423,Original 28-day beverage conversion,binomial
C(education)[T.Intermediate],0.2549495076229302,0.14263949028978745,-0.024942933301067838,0.5348419485469282,0.07416747798813726,Original 28-day beverage conversion,binomial
C(education)[T.Low],0.27026019729348383,0.20315200026954527,-0.1283721107617195,0.6688925053486872,0.18369819242676785,Original 28-day beverage conversion,binomial
C(indigenous)[T.Yes],0.17043437085219018,0.17597319614525747,-0.1748666906296595,0.5157354323340398,0.33300653566212884,Original 28-day beverage conversion,binomial
C(born_chile)[T.Yes],-0.1565151716714088,0.3984560472345456,-0.9383802458863414,0.6253499025435237,0.694544282457083,Original 28-day beverage conversion,binomial
water,-0.012537916482442164,0.015765695775574243,-0.043473943136251476,0.018398110171367152,0.42663957371735317,Original 28-day beverage conversion,binomial
"bs(age, df=4, degree=3)[0]",1.115791633703501,0.42764066578288223,0.27665943026415485,1.954923837142847,0.009205594397786588,Original 28-day beverage conversion,binomial
"bs(age, df=4, degree=3)[1]",1.1702588701949284,0.43181398282851846,0.3229376309403268,2.01758010944953,0.006836426539067799,Original 28-day beverage conversion,binomial
"bs(age, df=4, degree=3)[2]",-0.08725796029176441,0.6827244652757846,-1.4269249534670205,1.2524090328834916,0.8983251475514369,Original 28-day beverage conversion,binomial
"bs(age, df=4, degree=3)[3]",1.6662162292990481,0.8436529953308842,0.010769370394296152,3.3216630882038,0.048530809776178664,Original 28-day beverage conversion,binomial
"bs(teeth_remaining, df=4, degree=3)[0]",1.3633195401085192,0.6657900550144693,0.05688186802813311,2.6697572121889053,0.04084173781511284,Original 28-day beverage conversion,binomial
"bs(teeth_remaining, df=4, degree=3)[1]",1.7005650109690267,0.3773431123454373,0.9601285121729803,2.441001509765073,7.327731151430927e-06,Original 28-day beverage conversion,binomial
"bs(teeth_remaining, df=4, degree=3)[2]",0.04655827953408159,0.41543252446753304,-0.7686186611308654,0.8617352201990287,0.910787983116051,Original 28-day beverage conversion,binomial
"bs(teeth_remaining, df=4, degree=3)[3]",0.5055188655768827,0.36969351965496233,-0.21990732179796024,1.2309450529517258,0.17179403380871447,Original 28-day beverage conversion,binomial
"bs(soda_frequency, df=3, degree=3)[0]",1.4111706949956317,0.824196183627163,-0.2060972941635162,3.0284386841547795,0.08716052309106996,Original 28-day beverage conversion,binomial
"bs(soda_frequency, df=3, degree=3)[1]",-0.72652381652727,3.415007939510804,-7.427577683325523,5.974530050270983,0.8315678248970729,Original 28-day beverage conversion,binomial
"bs(soda_frequency, df=3, degree=3)[2]",-0.07911545369756717,0.9876740990695975,-2.0171658061236566,1.8589348987285221,0.936170838678668,Original 28-day beverage conversion,binomial
"bs(juice_frequency, df=3, degree=3)[0]",-0.041315144782451796,1.2162665455413544,-2.4279179821465027,2.345287692581599,0.9729084978033427,Original 28-day beverage conversion,binomial
"bs(juice_frequency, df=3, degree=3)[1]",5.976171990364177,6.277315415338108,-6.341406616228877,18.29375059695723,0.3413035746000329,Original 28-day beverage conversion,binomial
"bs(juice_frequency, df=3, degree=3)[2]",-5.473050352676742,5.996858275799993,-17.240305670814344,6.29420496546086,0.3616355992002839,Original 28-day beverage conversion,binomial
