model,fpr,tpr
logistic,0.0,0.0
logistic,0.0,8.477459327379482e-05
logistic,0.0004918258547903636,8.477459327379482e-05
logistic,0.0006967891951473909,8.477459327379482e-05
logistic,0.0013536629977093143,8.477459327379482e-05
logistic,0.0015239871432850504,8.477459327379482e-05
logistic,0.0015239871432850504,0.000256377869827269
logistic,0.0021617806589264367,0.000256377869827269
logistic,0.0021617806589264367,0.0011041636368714519
logistic,0.0021617806589264367,0.0011388970549394938
logistic,0.0021617806589264367,0.001246754438504915
logistic,0.0021617806589264367,0.0021813980358821195
logistic,0.0021617806589264367,0.002910790415386298
logistic,0.002922389407840853,0.002910790415386298
logistic,0.003530160077521101,0.002910790415386298
logistic,0.003581266060082335,0.002910790415386298
logistic,0.003581266060082335,0.0030912962383702206
logistic,0.0036647695286934606,0.0030912962383702206
logistic,0.003968677449479123,0.0030912962383702206
logistic,0.003968677449479123,0.003144283261727071
logistic,0.003968677449479123,0.0031525646272699413
logistic,0.003968677449479123,0.0033587407297239443
logistic,0.004232433117815229,0.0033587407297239443
logistic,0.00431102962884797,0.0033587407297239443
logistic,0.004314861647856807,0.0033587407297239443
logistic,0.004410989626297374,0.0033587407297239443
logistic,0.004410989626297374,0.004239431512083596
logistic,0.004445599152644808,0.004239431512083596
logistic,0.004445599152644808,0.004618656147731057
logistic,0.004445599152644808,0.004798062446706059
logistic,0.004445599152644808,0.004864905291027579
logistic,0.004445599152644808,0.004902983527780352
logistic,0.004486383236193443,0.004902983527780352
logistic,0.00453837970086435,0.004902983527780352
logistic,0.004763581491739541,0.004902983527780352
logistic,0.004829540234914793,0.004902983527780352
logistic,0.00485660604570037,0.004902983527780352
logistic,0.00485660604570037,0.005148120658365236
logistic,0.004902471362362682,0.005148120658365236
logistic,0.004902471362362682,0.005177001174049442
logistic,0.004902471362362682,0.005185957136503342
logistic,0.004902471362362682,0.0053299829933081185
logistic,0.005638657175501912,0.0053299829933081185
logistic,0.005638657175501912,0.005562863269792681
logistic,0.005638657175501912,0.00584907998208064
logistic,0.005638657175501912,0.005920831655728236
logistic,0.005638657175501912,0.006128456642011083
logistic,0.005638657175501912,0.006416199558783282
logistic,0.005638657175501912,0.006477360553442066
logistic,0.005638657175501912,0.006652624505581659
logistic,0.005638657175501912,0.0067209639013088435
logistic,0.005638657175501912,0.006984197255239093
logistic,0.005638657175501912,0.007175095719177173
logistic,0.005815328556901973,0.007175095719177173
logistic,0.005845887365595346,0.007175095719177173
logistic,0.005845887365595346,0.007194546424308268
logistic,0.005845887365595346,0.007332375083209803
logistic,0.00587543604323008,0.007332375083209803
logistic,0.00587543604323008,0.00749329340624971
logistic,0.00587543604323008,0.0075289812688686605
logistic,0.00587543604323008,0.007556809620457425
logistic,0.00587543604323008,0.0076044776911584604
logistic,0.0061727435627569735,0.0076044776911584604
logistic,0.006443368401202897,0.0076044776911584604
logistic,0.006443368401202897,0.007804048018792591
logistic,0.006806536128329172,0.007804048018792591
logistic,0.006806536128329172,0.007908300106173244
logistic,0.006806536128329172,0.008025706121088466
logistic,0.0072398130879437915,0.008025706121088466
logistic,0.007281386002218974,0.008025706121088466
logistic,0.007498484938850345,0.008025706121088466
logistic,0.007498484938850345,0.008711785525927208
logistic,0.00958356778361775,0.008711785525927208
logistic,0.009596975508162778,0.008711785525927208
logistic,0.009725404294859154,0.008711785525927208
logistic,0.009871217218578116,0.008711785525927208
logistic,0.009871217218578116,0.008774587102965388
logistic,0.009871217218578116,0.00884132238656367
logistic,0.009871217218578116,0.009244292705556205
logistic,0.010243628955821737,0.009244292705556205
logistic,0.010256046068207087,0.009244292705556205
logistic,0.010256046068207087,0.009636531273821752
logistic,0.010256046068207087,0.009690555082155203
logistic,0.010962088733043142,0.009690555082155203
logistic,0.011098886382980075,0.009690555082155203
logistic,0.011223056158600862,0.009690555082155203
logistic,0.011223056158600862,0.009774324960307477
logistic,0.011223056158600862,0.010145708585207221
logistic,0.011337571271435623,0.010145708585207221
logistic,0.011337571271435623,0.0102927222416789
logistic,0.011337571271435623,0.01035778250079642
logistic,0.011337571271435623,0.0104154571799711
logistic,0.011337571271435623,0.01054373184770358
logistic,0.011337571271435623,0.010783561477995692
logistic,0.011337571271435623,0.010972319382336304
logistic,0.011704551615392644,0.010972319382336304
logistic,0.01173250805213189,0.010972319382336304
logistic,0.012415932394340396,0.010972319382336304
logistic,0.012415932394340396,0.010979242143505883
logistic,0.012824496155622405,0.010979242143505883
logistic,0.012824496155622405,0.0124412970723568
logistic,0.012824496155622405,0.012464847660709967
logistic,0.012824496155622405,0.012644218157387779
logistic,0.012840472436592133,0.012644218157387779
logistic,0.012885209587225242,0.012644218157387779
logistic,0.012885209587225242,0.012685063506083432
logistic,0.013043188251069005,0.012685063506083432
logistic,0.013043188251069005,0.013174813217449882
logistic,0.013043188251069005,0.013485890228788345
logistic,0.013227289121269229,0.013485890228788345
logistic,0.013253287353604681,0.013485890228788345
logistic,0.013271349988132168,0.013485890228788345
logistic,0.013271349988132168,0.013520431972595046
logistic,0.013271349988132168,0.01374838989471114
logistic,0.013271349988132168,0.013764953338280405
logistic,0.013271349988132168,0.013782765347494168
logistic,0.013271349988132168,0.013904154558237148
logistic,0.013296658425113883,0.013904154558237148
logistic,0.013445970863605107,0.013904154558237148
logistic,0.013445970863605107,0.014366594225490895
logistic,0.013533380598803024,0.014366594225490895
logistic,0.014752737285592173,0.014366594225490895
logistic,0.014752737285592173,0.014671113506069077
logistic,0.014768260393363949,0.014671113506069077
logistic,0.014768260393363949,0.014771942652565637
logistic,0.014777647207047195,0.014771942652565637
logistic,0.014869628782319394,0.014771942652565637
logistic,0.015158267648212041,0.014771942652565637
logistic,0.015454295375508858,0.014771942652565637
logistic,0.015528833472014692,0.014771942652565637
logistic,0.015528833472014692,0.014860972505120928
logistic,0.015777819355780653,0.014860972505120928
logistic,0.016024123363308808,0.014860972505120928
logistic,0.01611617379840892,0.014860972505120928
logistic,0.01611617379840892,0.015015813910431053
logistic,0.016161113842218595,0.015015813910431053
logistic,0.016161113842218595,0.015775057277001483
logistic,0.016264582857591435,0.015775057277001483
logistic,0.016336489408630153,0.015775057277001483
logistic,0.016336489408630153,0.015832692947703106
logistic,0.016690280106512512,0.015832692947703106
logistic,0.016714891858256843,0.015832692947703106
logistic,0.016714891858256843,0.015907512243461742
logistic,0.01704445087924307,0.015907512243461742
logistic,0.01704445087924307,0.016122911526125768
logistic,0.018029481696800572,0.016122911526125768
logistic,0.018029481696800572,0.01643009633711773
logistic,0.018029481696800572,0.016765956731671486
logistic,0.018029481696800572,0.016816368839564836
logistic,0.018330509616966067,0.016816368839564836
logistic,0.01852921009697407,0.016816368839564836
logistic,0.01964800533829726,0.016816368839564836
logistic,0.01964800533829726,0.016853084941406277
logistic,0.019988874105725387,0.016853084941406277
logistic,0.020083749734444833,0.016853084941406277
logistic,0.020083749734444833,0.01690937451617231
logistic,0.020278004976600046,0.01690937451617231
logistic,0.020278004976600046,0.016950142143440584
logistic,0.02037690439488974,0.016950142143440584
logistic,0.02037690439488974,0.017713640591171628
logistic,0.02037690439488974,0.0192783614166639
logistic,0.02037690439488974,0.019484440394659044
logistic,0.020397264925076614,0.019484440394659044
logistic,0.020571218776431924,0.019484440394659044
logistic,0.020571218776431924,0.019610912859601343
logistic,0.020802712625549464,0.019610912859601343
logistic,0.021051052176791037,0.019610912859601343
logistic,0.021157055011482358,0.019610912859601343
logistic,0.021157055011482358,0.019662003790222433
logistic,0.021222734058538868,0.019662003790222433
logistic,0.021222734058538868,0.019931810484779308
logistic,0.021222734058538868,0.023115445964526932
logistic,0.021222734058538868,0.023186742936045984
logistic,0.021222734058538868,0.023879708623707405
logistic,0.021258435531484703,0.023879708623707405
logistic,0.021258435531484703,0.023917311743249688
logistic,0.021753844125770656,0.023917311743249688
logistic,0.022218414829629024,0.023917311743249688
logistic,0.022218414829629024,0.024304381696931637
logistic,0.022218414829629024,0.02438620173437215
logistic,0.02222224468031151,0.02438620173437215
logistic,0.02226426624157481,0.02438620173437215
logistic,0.02309894487722337,0.02438620173437215
logistic,0.02309894487722337,0.02453388109334936
logistic,0.02314757314937703,0.02453388109334936
logistic,0.02314757314937703,0.024551064524092683
logistic,0.02314757314937703,0.02469772418960152
logistic,0.02314757314937703,0.024871892018221747
logistic,0.02315560860539423,0.024871892018221747
logistic,0.023207201633976635,0.024871892018221747
logistic,0.023223547998731865,0.024871892018221747
logistic,0.023223547998731865,0.02495836585231979
logistic,0.023223547998731865,0.02510880469237939
logistic,0.02426726451442021,0.02510880469237939
logistic,0.02426726451442021,0.02535573856068195
logistic,0.024399182000770715,0.02535573856068195
logistic,0.024399182000770715,0.025397731566506557
logistic,0.024399182000770715,0.025472895736677464
logistic,0.024399182000770715,0.02551754501467821
logistic,0.024399182000770715,0.02553425079403668
logistic,0.02440879901239057,0.02553425079403668
logistic,0.02448335522348787,0.02553425079403668
logistic,0.024736603531576803,0.02553425079403668
logistic,0.025208326451522232,0.02553425079403668
logistic,0.025208326451522232,0.026405045892701665
logistic,0.025208326451522232,0.02659205197817236
logistic,0.025208326451522232,0.026953730055322072
logistic,0.025208326451522232,0.027379491070649725
logistic,0.025208326451522232,0.02750086930266928
logistic,0.025293925771051957,0.02750086930266928
logistic,0.025293925771051957,0.02826436775040032
logistic,0.025507196662974414,0.02826436775040032
logistic,0.025507196662974414,0.028282876418719186
logistic,0.025507196662974414,0.028543740295333582
logistic,0.025556336654051753,0.028543740295333582
logistic,0.025556336654051753,0.02868627754735293
logistic,0.025556336654051753,0.02871552524911392
logistic,0.025813215935697863,0.02871552524911392
logistic,0.0261294855462645,0.02871552524911392
logistic,0.02632852867730118,0.02871552524911392
logistic,0.02632852867730118,0.028821258087768406
logistic,0.02632852867730118,0.028926773805164698
logistic,0.02634935778296482,0.028926773805164698
logistic,0.02634935778296482,0.029063996998804277
logistic,0.02634935778296482,0.02917575976366143
