domain,variable,description,variable_role,kind,units,domain_n,observed_n,missing_n,denominator_n,weighted_denominator,df,confidence,row_type,level,n,unweighted_percent,unweighted_mean,estimate,se,ci_low,ci_high,weighted_sd,ci_method,ci_status
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,09 Maule,117,4.985087345547507,,5.96178008860841,1.288818848467051,3.881269571494208,9.052491576735813,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,10 Biobio,231,9.842351938645079,,10.127438811216285,1.0698970682789002,8.212632002224128,12.428240488645278,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,11 La Araucania,102,4.345973583297827,,5.332656429580501,0.7630340642749495,4.0190422294335,7.044111818396083,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,12 Los Rios,112,4.772049424797614,,1.836824259532701,0.25421912095935223,1.399100129579265,2.408150598346429,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,13 Los Lagos,97,4.132935662547934,,3.829711473465762,0.64991348710997,2.739575704772376,5.329864012346664,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,14 Aysen,162,6.902428632296549,,0.7309367650361456,0.0817963781326227,0.5867361053485507,0.9102527628537659,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,15 Magallanes and Antarctica,129,5.496378355347252,,1.0754800347996096,0.13656242497201176,0.8380266783357595,1.3792795247115555,,logit_t,estimated
No caries,region,Survey region (2016 boundaries),primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,01 Arica and Parinacota,133,4.946076608404612,,1.255682307652415,0.15618215662547041,0.9834047006720119,1.602126288952168,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,02 Tarapaca,121,4.499814057270361,,1.6022801967496596,0.27070150334148335,1.149247812552467,2.229869004240257,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,03 Antofagasta,126,4.685756786909632,,2.968341738361342,0.40903185220982674,2.262758481804061,3.885197018342464,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,04 Atacama,123,4.57419114912607,,1.5140600328524487,0.2613814003198814,1.0781541697099206,2.122424594147173,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,05 Coquimbo,181,6.731126812941614,,4.797169631878957,0.5834407001845876,3.773652522324417,6.080749896266116,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,06 Valparaiso,239,8.88806247675716,,8.520777866601982,0.9207522537318273,6.879213858915177,10.509852213285754,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,07 Metropolitan,397,14.763852733358126,,39.823597352655895,2.2458246295897744,35.50963698866682,44.301624412480386,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,08 O'Higgins,184,6.842692450725177,,6.568447145956176,1.0483445783022922,4.7872946723320595,8.949998965552213,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,09 Maule,190,7.065823726292302,,5.7006845473294625,0.6957148572069839,4.479467592757603,7.229637594522425,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,10 Biobio,317,11.788769059129788,,13.144942641843299,1.6454302339407436,10.238490164517238,16.72275249065673,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,11 La Araucania,139,5.169207883971737,,5.228714296874838,0.7157839166511413,3.9896925474581133,6.825167746427242,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,12 Los Rios,142,5.280773521755299,,2.5341640855987873,0.4147612892113165,1.8358320882715946,3.488693900223931,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,13 Los Lagos,167,6.210487169951655,,5.11312781233144,0.6462361406279613,3.9839540820907433,6.540542675326468,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,14 Aysen,113,4.202305689847527,,0.45122136658700496,0.0888442964313643,0.30652522601381854,0.6637669737712082,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,15 Magallanes and Antarctica,117,4.351059873558944,,0.7767889767262914,0.10096069119821943,0.6017841434436528,1.0021738358984535,,logit_t,estimated
Caries,region,Survey region (2016 boundaries),primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,01 Arica and Parinacota,287,5.698967434471803,,1.321825886263858,0.12270921791730065,1.1014681644878341,1.585561204457073,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,02 Tarapaca,271,5.381254964257347,,1.860088920087229,0.20468929630962315,1.4982266685710401,2.3073034454016152,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,03 Antofagasta,259,5.142970611596505,,3.466828984733531,0.33202102103995046,2.871165162401529,4.180752440250269,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,04 Atacama,263,5.222398729150119,,1.7151233856770958,0.29364590540059804,1.2246392935598776,2.3972850452877137,,logit_t,estimated
Total,region,Survey region (2016 boundaries),primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,05 Coquimbo,264,5.242255758538523,,4.316307781310436,0.5313100341037766,3.3859742797702737,5.487741249338608,,logit_t,estimated
