domain,variable,description,variable_role,kind,units,domain_n,observed_n,missing_n,denominator_n,weighted_denominator,df,confidence,row_type,level,n,unweighted_percent,unweighted_mean,estimate,se,ci_low,ci_high,weighted_sd,ci_method,ci_status
Total,fish,Fish/seafood consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,More than once/week,492,9.769658459094519,,8.902067351815878,0.6559929461549775,7.696057254966629,10.276025523453706,,logit_t,estimated
Total,fish,Fish/seafood consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Once/week,1654,32.84352660841938,,35.56506884823618,1.3293795016394065,33.00140335480472,38.21429621415547,,logit_t,estimated
Total,fish,Fish/seafood consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Less than three times/month,1170,23.23272438443209,,22.98780255781162,1.0898211528182344,20.91932338689041,25.19564631354901,,logit_t,estimated
Total,fish,Fish/seafood consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Less than once/month or never,1720,34.15409054805401,,32.54506124213632,1.3109529492546927,30.02704284570028,35.1681099702169,,logit_t,estimated
Total,fish,Fish/seafood consumption frequency,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least three times/day,152,6.476352790796762,,5.739866664870111,0.7947919659014787,4.365185938042456,7.513449321057419,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Less than three times/day,183,7.797187899446102,,10.589007120553688,1.3753699782408584,8.17743391930512,13.60638280508092,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Once/day,891,37.96335747763102,,36.31334249679593,1.859939184704477,32.74810307955352,40.03565970789792,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Every other day,419,17.852577758841075,,19.031851631348616,1.4197315575189218,16.40048429011101,21.97443362579011,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least once/week,426,18.150830847890923,,17.348351213667385,1.3701637097887363,14.821845594737052,20.20337157445909,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least once/month,107,4.559011504047721,,4.974364981490855,0.7999842560707235,3.619604983293779,6.800412374542882,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,169,7.2006817213464,,6.003215891273409,0.8572035516822089,4.525854528213789,7.922808967504329,,logit_t,estimated
No caries,dairy_frequency,Dairy consumption frequency,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least three times/day,155,5.764224618817404,,6.579198058796034,0.8689865997836161,5.066012984649607,8.5038749040406,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Less than three times/day,210,7.809594644849386,,6.839090900417477,0.8414882795628448,5.361436843452484,8.686617353973922,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Once/day,870,32.354034957233175,,31.65270551887079,1.548050639811347,28.69608761223657,34.76542415435328,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Every other day,494,18.371141688359984,,19.72374710773704,1.6236422574776186,16.730237804414834,23.10426384222305,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least once/week,551,20.490888806247675,,19.834912909833843,1.337419211360093,17.340430289552916,22.590167713461675,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least once/month,173,6.43361844551878,,6.540774412509307,0.9079239493283381,4.9693523807582345,8.564332502650213,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,236,8.776496838973596,,8.829571091835508,1.003342394624401,7.048937288594678,11.006747678284672,,logit_t,estimated
Caries,dairy_frequency,Dairy consumption frequency,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least three times/day,307,6.096108022239873,,6.198462931061935,0.604355690439638,5.113282034525054,7.495756016930634,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Less than three times/day,393,7.803812549642574,,8.54011726663932,0.8283806981414508,7.04869806721182,10.312093539434517,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Once/day,1761,34.968228752978554,,33.76685045370114,1.252629316742894,31.3543633982929,36.26689212830563,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Every other day,913,18.12946783161239,,19.409891442992727,1.0561736869337846,17.42094663802577,21.566609311301683,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least once/week,977,19.400317712470216,,18.706965841655663,1.0077993390994786,16.80931869117039,20.765368868669054,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least once/month,280,5.559968228752979,,5.830224206573198,0.6097762258128702,4.742687294352904,7.148427818123501,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,405,8.042096902303415,,7.547487857376015,0.6865787545469547,6.305879764598969,9.010055482212023,,logit_t,estimated
Total,dairy_frequency,Dairy consumption frequency,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Reduced fat,1023,43.587558585428205,,42.762822016987975,1.9209278172306243,39.042322565059315,46.567020236059676,,logit_t,estimated
No caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Full fat,1155,49.211759693225396,,51.23396209173862,1.9075221921047911,47.49103057587495,54.96310636347436,,logit_t,estimated
No caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,No dairy,169,7.2006817213464,,6.003215891273409,0.8572035516822089,4.525854528213789,7.922808967504329,,logit_t,estimated
No caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Reduced fat,1040,38.676087764968386,,36.965920592093376,1.7063953990182619,33.68467067033191,40.372212119613785,,logit_t,estimated
Caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Full fat,1413,52.547415396058014,,54.20450831607112,1.7473641715012038,50.76124207848536,57.60807442893447,,logit_t,estimated
Caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,No dairy,236,8.776496838973596,,8.829571091835508,1.003342394624401,7.048937288594678,11.006747678284672,,logit_t,estimated
Caries,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Reduced fat,2063,40.96505162827641,,39.59549458448953,1.3150556628379308,37.04613415466074,42.20268326213198,,logit_t,estimated
Total,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Full fat,2568,50.992851469420174,,52.85701755813446,1.3151787527160517,50.27098480608196,55.42780544939638,,logit_t,estimated
Total,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,No dairy,405,8.042096902303415,,7.547487857376015,0.6865787545469547,6.305879764598969,9.010055482212023,,logit_t,estimated
Total,dairy_type,"Usual dairy fat content, with structural category for nonconsumers",primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,More than once/day,63,2.684277801448658,,4.016673868835201,0.8461746159655253,2.648345332192033,6.048059149857876,,logit_t,estimated
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Daily,385,16.403919897741797,,17.698446148225976,1.5003806104868636,14.943576334874962,20.836765733626006,,logit_t,estimated
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Every other day,213,9.075415423945461,,8.282396779624994,0.9993732308547485,6.5208670125689965,10.46650187076775,,logit_t,estimated
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least once/week,278,11.844908393694077,,11.876007216644267,1.1220895845793821,9.844620649185122,14.260258616997252,,logit_t,estimated
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least once/month,209,8.904985087345548,,9.076929153065537,1.0167813657845846,7.269381321208288,11.279258971079638,,logit_t,estimated
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,1199,51.086493395824455,,49.049546833604026,1.969421055617847,45.19840766462301,52.91200036662035,,logit_t,estimated
No caries,wholegrain,Wholegrain consumption frequency,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,More than once/day,53,1.9709929341762737,,2.945545432989545,0.6547690752974166,1.8994951625629,4.540989361698724,,logit_t,estimated
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Daily,326,12.123465972480476,,12.85428432547024,1.1916550981913285,10.691519705770608,15.379210867962364,,logit_t,estimated
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Every other day,203,7.5492748233544065,,7.324892682625654,0.8844820624054316,5.767702207882102,9.26118176464054,,logit_t,estimated
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least once/week,314,11.677203421346226,,11.941599638641282,1.0960096930875747,9.952705432988258,14.264980968953589,,logit_t,estimated
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least once/month,228,8.478988471550762,,8.774809828870488,0.8943725484853838,7.1711946058399745,10.695706209627383,,logit_t,estimated
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,1565,58.20007437709186,,56.158868091402795,1.7717087401732017,52.6577237940664,59.599741240333096,,logit_t,estimated
Caries,wholegrain,Wholegrain consumption frequency,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,More than once/day,116,2.3034154090548054,,3.431427677824668,0.5357722486572497,2.522082164904016,4.6529905162909735,,logit_t,estimated
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Daily,711,14.118347895154885,,15.051679280190978,1.0262308105350595,13.146755422583151,17.1780292989091,,logit_t,estimated
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Every other day,416,8.260524225575853,,7.75923297695419,0.6852003074176556,6.516937916208574,9.214997630960802,,logit_t,estimated
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least once/week,592,11.75536139793487,,11.911845790104042,0.7451525135387158,10.525502908940977,13.453332216607594,,logit_t,estimated
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least once/month,437,8.677521842732327,,8.91185634032088,0.6780613653691333,7.667897764420347,10.335032711713025,,logit_t,estimated
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Never,2764,54.88482922954726,,52.933957934605246,1.440635057839729,50.10069803020476,55.74843651540916,,logit_t,estimated
Total,wholegrain,Wholegrain consumption frequency,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,legumes,Legume consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least twice/week,594,25.308904985087345,,22.001660528791593,1.75798060011944,18.746256062127134,25.643968908539815,,logit_t,estimated
No caries,legumes,Legume consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,At least once/week,1209,51.51256923732424,,50.68205359596784,2.038907189359424,46.6854011280196,54.670007734492266,,logit_t,estimated
No caries,legumes,Legume consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,One to three times/month,255,10.864933958244567,,14.078392419556602,1.421023118208672,11.51372098001959,17.103917211187916,,logit_t,estimated
No caries,legumes,Legume consumption frequency,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Less than once/month or never,289,12.313591819343843,,13.237893455683972,1.388642752517699,10.742388095020013,16.207848028034284,,logit_t,estimated
No caries,legumes,Legume consumption frequency,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,legumes,Legume consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least twice/week,709,26.366679062848643,,25.110048747011355,1.3789532198956687,22.502114971011046,27.911376727925237,,logit_t,estimated
Caries,legumes,Legume consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,At least once/week,1326,49.312011900334696,,48.58354241404456,1.6723416142569019,45.312800684818704,51.86646137736797,,logit_t,estimated
Caries,legumes,Legume consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,One to three times/month,342,12.718482707326144,,14.147069781708932,1.247964874968991,11.8705363988895,16.77708332294167,,logit_t,estimated
Caries,legumes,Legume consumption frequency,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Less than once/month or never,312,11.602826329490517,,12.159339057235158,1.0807340177410927,10.192882175887053,14.444156344291908,,logit_t,estimated
Caries,legumes,Legume consumption frequency,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,legumes,Legume consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least twice/week,1303,25.873709293089753,,23.70003049453608,1.0878434012758917,21.63202742453768,25.900393804295614,,logit_t,estimated
Total,legumes,Legume consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,At least once/week,2535,50.33756949960286,,49.53546310792427,1.298630628975095,46.990650782475825,52.08268461842024,,logit_t,estimated
Total,legumes,Legume consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,One to three times/month,597,11.854646544876886,,14.115916551363044,0.9329058958081348,12.382547044888462,16.047490090078202,,logit_t,estimated
Total,legumes,Legume consumption frequency,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Less than once/month or never,601,11.9340746624305,,12.648589846176606,0.8933838736381919,10.9969066487791,14.507910668003184,,logit_t,estimated
Total,legumes,Legume consumption frequency,primary,categorical,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,fruit_days,Fruit consumption days in a typical week,primary,numeric,days/week,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,4.367703451214316,4.389043583202011,0.10182052693215586,4.189247609721523,4.588839556682499,2.4857810098081368,linearized_t,estimated
No caries,fruit_days,Fruit consumption days in a typical week,primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,fruit_days,Fruit consumption days in a typical week,primary,numeric,days/week,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,4.213090368166605,4.225539907313734,0.08737843106633103,4.054082744184655,4.396997070442812,2.551953888576218,linearized_t,estimated
Caries,fruit_days,Fruit consumption days in a typical week,primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,fruit_days,Fruit consumption days in a typical week,primary,numeric,days/week,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,4.285146942017474,4.2997079813007435,0.06682719802478178,4.16857720161787,4.430838760983617,2.52346508520419,linearized_t,estimated
Total,fruit_days,Fruit consumption days in a typical week,primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,primary,numeric,portions/consumption day,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,1.9230592245419684,1.8995097409786155,0.062487526974062464,1.7768944230428732,2.022125058914358,1.8353234131892546,linearized_t,estimated
No caries,fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,primary,numeric,portions/consumption day,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,1.900409074005206,2.005058043755884,0.08747685976336865,1.8334077402263815,2.1767083472853863,2.274433377464459,linearized_t,estimated
Caries,fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,primary,numeric,portions/consumption day,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,1.9109650516282761,1.957179521838512,0.0597530196486243,1.8399299544988108,2.074429089178213,2.0873894815475262,linearized_t,estimated
Total,fruit_portions,Fruit portions on a consumption day; zero for nonconsumers,primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,vegetable_days,Vegetable consumption days in a typical week,primary,numeric,days/week,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,5.553898593949723,5.563187369842888,0.0777705321949982,5.410583178368327,5.715791561317449,2.0561013335877636,linearized_t,estimated
No caries,vegetable_days,Vegetable consumption days in a typical week,primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,vegetable_days,Vegetable consumption days in a typical week,primary,numeric,days/week,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,5.319821494979546,5.347559128079933,0.08184033189873371,5.186969026316181,5.508149229843685,2.2156836890043667,linearized_t,estimated
Caries,vegetable_days,Vegetable consumption days in a typical week,primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,vegetable_days,Vegetable consumption days in a typical week,primary,numeric,days/week,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,5.428911834789515,5.44537179988611,0.05813770026798495,5.3312918714970285,5.559451728275191,2.147451176671444,linearized_t,estimated
Total,vegetable_days,Vegetable consumption days in a typical week,primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,primary,numeric,portions/consumption day,2347,2347,0,2347,6258645.299423695,1045,0.95,mean,Mean,2347,,1.842011077971879,1.880710336973281,0.08050265346012139,1.722745076917768,2.038675597028794,1.5671398603503868,linearized_t,estimated
No caries,vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,primary,numeric,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,primary,numeric,portions/consumption day,2689,2689,0,2689,7538551.493308067,1045,0.95,mean,Mean,2689,,1.8284492376348085,1.7938223773966613,0.049537415503802425,1.6966182432942678,1.8910265114990548,1.3266496200328772,linearized_t,estimated
Caries,vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,primary,numeric,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,primary,numeric,portions/consumption day,5036,5036,0,5036,13797196.792731762,1045,0.95,mean,Mean,5036,,1.8347696584590945,1.8332362473261818,0.049000850731142125,1.7370849803058888,1.929387514346475,1.441372712544565,linearized_t,estimated
Total,vegetable_portions,Vegetable portions on a consumption day; zero for nonconsumers,primary,numeric,count,5036,5036,0,5036,13797196.792731762,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
No caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Always,599,25.52194290583724,,22.57949850150919,1.4183266885256753,19.918203159855917,25.483222237753544,,logit_t,estimated
No caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Almost always,228,9.714529186195143,,10.866279397672002,1.2364324803337834,8.667167774936862,13.540645695222208,,logit_t,estimated
No caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Sometimes,266,11.333617383894333,,11.184310184430561,1.0013585100984752,9.365021370389101,13.305139598871229,,logit_t,estimated
No caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Rarely,244,10.396250532594802,,11.07192432546755,1.199228217092792,8.92837670742976,13.652950138577404,,logit_t,estimated
No caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2347,2347,0,2347,6258645.299423695,1045,0.95,category,Never,1010,43.03365999147848,,44.2979875909207,1.8119132037674313,40.77759739782328,47.87660272645364,,logit_t,estimated
No caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,count,2347,2347,0,2347,6258645.299423695,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Always,564,20.97433990330978,,19.518856148645135,1.4580502635574915,16.81536814180797,22.53922597481896,,logit_t,estimated
Caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Almost always,234,8.702119747117887,,8.512730240742536,0.9236474829463399,6.866661923484767,10.508867487703123,,logit_t,estimated
Caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Sometimes,283,10.524358497582744,,11.294365533279814,1.100119417040557,9.308926554750062,13.639578706279803,,logit_t,estimated
Caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Rarely,320,11.900334696913351,,11.818476017036419,1.0716615450876534,9.87216739632174,14.088520011708402,,logit_t,estimated
Caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,2689,2689,0,2689,7538551.493308067,1045,0.95,category,Never,1288,47.89884715507624,,48.85557206029609,1.888544773892469,45.16283398112208,52.56084370329741,,logit_t,estimated
Caries,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,count,2689,2689,0,2689,7538551.493308067,1045,0.95,missing,Missing,0,0.0,,,,,,,not_applicable_missing_count,not_applicable
Total,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Always,1163,23.093725178713264,,20.907216057018744,1.0555787303724284,18.91126485837436,23.053934580891603,,logit_t,estimated
Total,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Almost always,462,9.173947577442414,,9.580340537910933,0.81087852626973,8.103035790616081,11.293879570001453,,logit_t,estimated
Total,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Sometimes,549,10.90150913423352,,11.244442537898994,0.7589754977196248,9.839039437109086,12.822043862720514,,logit_t,estimated
Total,label_ingredients,Frequency of checking/considering package ingredients,primary,categorical,percent,5036,5036,0,5036,13797196.792731762,1045,0.95,category,Rarely,564,11.19936457505957,,11.4798273548911,0.8613777804149048,9.894805342326016,13.281325334823837,,logit_t,estimated
