model,feature,n_folds,brier_increase,auc_drop,minimum_fold_brier_increase,maximum_fold_brier_increase,minimum_fold_auc_drop,maximum_fold_auc_drop,base_model,encoding,encoding_label
random_forest,water,5,-0.0001556113862937438,0.000381606660661925,-0.0010650164481821101,0.00022860723238978808,-0.004508929406118312,0.0031107495496469407,random_forest,physical,Reported glasses/day
random_forest_water_index,water,5,-0.00015561138629373373,0.000381606660661925,-0.0010650164481821101,0.000228607232389777,-0.004508929406118312,0.0031107495496469407,random_forest,index,Historical factor index
random_forest_water_nominal,water,5,-0.0003780907903829771,-0.001964936239258883,-0.001668519043276273,1.5820374443198394e-06,-0.008204178575537856,0.0008564368751532659,random_forest,nominal,Nominal water categories
spline_logistic,water,5,-0.00017317956689288325,-0.001320169838688228,-0.000506284149145908,0.0002699068536016813,-0.00449437251623992,0.002159255429784035,spline_logistic,physical,Reported glasses/day
spline_logistic_water_index,water,5,-0.00020639368866961125,-0.001496238525273626,-0.0006046111524725728,0.00031122826165921327,-0.005363494203446795,0.002732087076085521,spline_logistic,index,Historical factor index
spline_logistic_water_nominal,water,5,-0.00013628900566984323,-0.0006620191616855803,-0.0005076986198656597,9.0923000363069e-05,-0.003496451991066274,0.001085847786930283,spline_logistic,nominal,Nominal water categories
